iter	Passed	Remaining
0	50	5021
1	54	2670
2	57	1872
3	61	1468
4	63	1214
5	66	1047
6	70	942
7	74	862
8	80	809
9	83	755
10	88	714
11	91	671
12	94	634
13	100	616
14	104	593
15	107	566
16	110	540
17	114	522
18	117	501
19	121	484
20	124	468
21	127	452
22	130	435
23	132	420
24	135	406
25	138	395
26	141	383
27	144	371
28	146	359
29	150	352
30	155	345
31	159	338
32	161	328
33	164	319
34	168	312
35	170	303
36	174	296
37	176	288
38	179	280
39	182	273
40	184	265
41	186	257
42	188	250
43	190	242
44	192	235
45	195	228
46	197	222
47	199	216
48	201	209
49	203	203
50	205	197
51	208	192
52	210	186
53	213	181
54	215	176
55	217	170
56	219	165
57	221	160
58	223	155
59	224	149
60	226	144
61	228	139
62	229	134
63	231	130
64	232	125
65	234	120
66	235	116
67	237	111
68	238	107
69	239	102
70	240	98
71	241	94
72	243	89
73	244	85
74	245	81
75	246	77
76	248	74
77	249	70
78	250	66
79	251	62
80	253	59
81	255	56
82	256	52
83	257	49
84	258	45
85	260	42
86	261	39
87	263	35
88	264	32
89	266	29
90	267	26
91	269	23
92	270	20
93	272	17
94	273	14
95	275	11
96	276	8
97	277	5
98	279	2
99	281	0
