feature_1,feature_2,spearman_correlation
D4,D12,1.0
V17,V18,0.9995
V15,V16,0.999
D5,D7,0.9976
D6,D12,0.9943
V10,V11,0.9915
D4,D6,0.9827
V16,C7,0.9809
D1,D2,0.9802
V15,C7,0.9798
C8,C10,0.9709
V18,C8,0.9627
V17,C8,0.9623
V12,V13,0.943
V4,V5,0.9396
V19,V20,0.9272
V18,C10,0.9261
V17,C10,0.9256
C4,C8,0.9148
V18,C4,0.9132
V17,C4,0.9127
D3,D7,0.9037
V16,C4,0.9006
V15,C4,0.8996
C4,C10,0.8909
C1,C14,0.8739
D3,D5,0.8725
V15,V18,0.8447
V15,V17,0.8446
V11,C5,0.8443
V16,V18,0.8438
V16,V17,0.8436
V16,C8,0.8427
V15,C8,0.8421
V8,V9,0.8412
V10,C5,0.8397
V18,C7,0.8355
V17,C7,0.8355
C7,C12,0.8088
V6,V7,0.8084
V16,C10,0.8021
C13,C14,0.8017
V15,C10,0.8014
D4,D15,0.7852
V16,C12,0.7823
V15,C12,0.7814
D11,D15,0.7719
D10,D15,0.7661
V2,V3,0.7642
C2,C11,0.7563
C1,C11,0.7306
C1,C2,0.7241
C13,D1,0.7207
V2,V8,0.7201
C13,D15,0.7098
D2,D12,0.7074
D2,D6,0.7065
C8,C9,-0.7051
D1,D15,0.705
C13,D10,0.6951
C4,C9,-0.6924
D4,D10,0.6908
D4,D11,0.6906
C1,C13,0.6904
C9,C10,-0.6877
C13,D4,0.6862
C13,D11,0.6807
C9,C13,0.6767
C11,C14,0.6761
D4,D7,0.6615
D6,D15,0.6607
C6,C11,0.6607
D1,D4,0.6602
C2,C14,0.6577
D1,D10,0.6571
V18,C12,0.6557
V17,C12,0.6556
D5,D12,0.6553
D5,D6,0.653
D7,D12,0.6529
C4,C7,0.6529
C2,C13,0.6511
D10,D11,0.6496
V6,V8,0.6495
D1,D11,0.6407
D1,D6,0.6406
D2,D15,0.6402
V4,V19,0.6365
V5,V20,0.6339
C2,C6,0.6323
V3,V9,0.6286
C1,C6,0.6273
D12,D15,0.6236
V2,V9,0.6224
V4,V20,0.6204
V5,V19,0.6133
C11,C13,0.6102
D6,D7,0.6021
D2,D7,0.5981
C9,C14,0.5967
C6,C14,0.5944
C13,D6,0.593
D1,D12,0.5893
D2,D4,0.5878
C7,C8,0.5853
V2,V6,0.5824
C2,D12,0.5649
C5,C9,0.5605
C6,C13,0.5603
V18,C9,-0.5599
V17,C9,-0.5597
D2,D11,0.5519
C7,C10,0.5517
C1,C9,0.5513
V3,V8,0.5502
V7,V9,0.5485
V6,V9,0.5451
V16,C9,-0.5405
V15,C9,-0.54
D2,D10,0.5385
C10,D6,0.5385
D6,D13,0.5378
C13,D12,0.537
C2,D6,0.5353
V7,V8,0.5248
C8,D6,0.5238
C6,C9,0.5217
C9,D10,0.5197
C9,C11,0.5182
V3,V7,0.5103
D13,D15,0.5056
C9,D1,0.5055
C14,D15,0.5051
C14,D4,0.5038
C10,D12,0.5032
D1,D13,0.4991
C5,C14,0.498
D3,D12,0.4936
C14,D10,0.4914
C12,D12,0.4905
C11,D12,0.4905
C11,D6,0.4901
C13,D2,0.4894
D5,D8,0.4872
C5,C13,0.4866
C9,D15,0.4861
D2,D8,0.4826
C4,C12,0.4825
D4,D13,0.4788
C1,D4,0.4787
C2,C9,0.4767
D12,D13,0.4749
C13,D13,0.4745
V2,V7,0.4722
C8,D12,0.4711
V13,C4,-0.4691
D7,D8,0.4673
C1,D15,0.4664
C14,D11,0.4619
C5,C11,0.4596
V13,C8,-0.4551
D1,D3,0.4548
D8,D13,0.4545
C1,D6,0.4531
C7,C9,-0.4531
C1,C5,0.4523
V3,V6,0.4515
C1,D10,0.4502
V12,C4,-0.4498
C1,D11,0.4493
C9,D4,0.4486
C10,D13,0.4447
V13,V18,-0.4445
V13,V17,-0.4443
D3,D8,0.4438
C14,D6,0.4435
V13,C10,-0.4381
V12,C8,-0.4363
V13,C7,-0.4362
D4,D5,0.4358
C2,D13,0.4323
V13,V16,-0.429
V13,V15,-0.4287
V12,V18,-0.4261
V12,V17,-0.426
C2,D1,0.4257
C2,D11,0.4254
C8,C12,0.4253
V12,C10,-0.42
V12,C7,-0.4182
C5,C8,-0.4182
D3,D6,0.4163
C1,D12,0.4143
V12,V16,-0.4114
V12,V15,-0.411
C4,C5,-0.4106
D2,D13,0.4099
C2,D4,0.4098
C5,C10,-0.4079
C11,D13,0.4068
C5,C6,0.4028
D2,D3,0.3991
C10,C12,0.399
D2,D5,0.3983
V13,C9,0.3983
C2,C5,0.395
C14,D1,0.3943
C7,D10,-0.3868
C2,D15,0.3833
V15,D10,-0.381
V16,D10,-0.3805
D10,D13,0.3796
C14,D12,0.373
C14,D13,0.3704
C1,D13,0.3679
C11,D1,0.3623
V12,C9,0.3609
D6,D10,0.3563
C8,C13,-0.3539
C11,D4,0.3494
D7,D15,0.3488
C6,D11,0.3481
C4,D10,-0.3479
C4,C13,-0.3444
C6,D15,0.3407
C10,C13,-0.3385
C4,D13,0.3375
D10,D14,0.3374
C6,D1,0.3361
C8,D10,-0.3355
D5,D15,0.3342
C1,D1,0.3333
