feature_name,skewness,distribution_shape,unique_values
V1,-135.3003,Highly Skewed,2
V2,6.7569,Highly Skewed,9
V3,5.3752,Highly Skewed,10
V4,-0.433,Symmetric,7
V5,0.2313,Symmetric,7
V6,6.7067,Highly Skewed,10
V7,5.4988,Highly Skewed,10
V8,8.5905,Highly Skewed,9
V9,6.9269,Highly Skewed,9
V10,0.4188,Symmetric,5
V11,0.7366,Moderately Skewed,6
V12,-0.0696,Symmetric,4
V13,0.0766,Symmetric,7
V14,-44.7083,Highly Skewed,2
V15,2.5871,Highly Skewed,8
V16,3.8332,Highly Skewed,15
V17,3.7941,Highly Skewed,16
V18,4.0078,Highly Skewed,16
V19,-0.8777,Moderately Skewed,8
V20,0.2513,Symmetric,15
V21,2.308,Highly Skewed,6
V22,3.634,Highly Skewed,9
V23,12.1166,Highly Skewed,14
V24,9.0865,Highly Skewed,14
V25,-2.6481,Highly Skewed,7
V26,2.6869,Highly Skewed,13
V27,40.5671,Highly Skewed,4
V28,42.8853,Highly Skewed,4
V29,0.7744,Moderately Skewed,6
V30,1.2828,Moderately Skewed,8
V31,2.4384,Highly Skewed,8
V32,3.5309,Highly Skewed,15
V33,2.3374,Highly Skewed,7
V34,2.9522,Highly Skewed,13
V35,0.0359,Symmetric,4
V36,0.1814,Symmetric,6
V37,22.6304,Highly Skewed,55
V38,18.3592,Highly Skewed,55
V39,5.9516,Highly Skewed,16
V40,6.6453,Highly Skewed,18
V41,-36.956,Highly Skewed,2
V42,2.4411,Highly Skewed,9
V43,3.0941,Highly Skewed,9
V44,29.0395,Highly Skewed,49
V45,23.2186,Highly Skewed,49
V46,7.7628,Highly Skewed,7
V47,10.0419,Highly Skewed,9
V48,0.7674,Moderately Skewed,6
V49,1.1254,Moderately Skewed,6
V50,1.911,Moderately Skewed,6
V51,2.4138,Highly Skewed,7
V52,3.2988,Highly Skewed,9
V53,-0.0935,Symmetric,6
V54,0.0894,Symmetric,7
V55,10.4216,Highly Skewed,18
V56,23.5567,Highly Skewed,52
V57,2.6776,Highly Skewed,7
V58,3.7931,Highly Skewed,11
V59,4.3801,Highly Skewed,17
V60,4.9929,Highly Skewed,17
V61,-0.5947,Moderately Skewed,7
V62,0.6064,Moderately Skewed,11
V63,2.829,Highly Skewed,8
V64,3.8474,Highly Skewed,8
V65,-54.4509,Highly Skewed,2
V66,-0.8142,Moderately Skewed,8
V67,1.326,Moderately Skewed,9
V68,46.6884,Highly Skewed,3
V69,0.7948,Moderately Skewed,6
V70,1.2288,Moderately Skewed,7
V71,2.5562,Highly Skewed,7
V72,3.6107,Highly Skewed,11
V73,2.6464,Highly Skewed,8
V74,2.8131,Highly Skewed,9
V75,0.0177,Symmetric,5
V76,0.176,Symmetric,7
V77,13.2327,Highly Skewed,31
V78,15.2702,Highly Skewed,32
V79,3.8869,Highly Skewed,8
V80,5.6879,Highly Skewed,20
V81,5.9424,Highly Skewed,20
V82,-0.7118,Moderately Skewed,8
V83,0.561,Moderately Skewed,8
V84,2.7138,Highly Skewed,8
V85,3.742,Highly Skewed,8
V86,16.9305,Highly Skewed,31
V87,14.8045,Highly Skewed,31
V88,-36.3786,Highly Skewed,2
V89,38.5888,Highly Skewed,3
V90,0.7425,Moderately Skewed,6
V91,1.2463,Moderately Skewed,7
V92,2.5271,Highly Skewed,8
V93,3.5892,Highly Skewed,8
V94,2.1119,Highly Skewed,3
V95,30.2421,Highly Skewed,881
V96,26.0292,Highly Skewed,1410
V97,25.3236,Highly Skewed,976
V98,6.3882,Highly Skewed,13
V99,11.064,Highly Skewed,89
V100,8.7351,Highly Skewed,29
V101,30.6312,Highly Skewed,870
V102,26.9902,Highly Skewed,1285
V103,26.0312,Highly Skewed,928
V104,14.8838,Highly Skewed,16
V105,20.8914,Highly Skewed,100
V106,19.4855,Highly Skewed,56
V107,-48.754,Highly Skewed,2
V108,17.8241,Highly Skewed,8
V109,9.7268,Highly Skewed,8
V110,13.7511,Highly Skewed,8
V111,31.7075,Highly Skewed,10
V112,23.1461,Highly Skewed,10
V113,28.9651,Highly Skewed,10
V114,13.0597,Highly Skewed,7
V115,6.5888,Highly Skewed,7
V116,9.7861,Highly Skewed,7
V117,9.3756,Highly Skewed,4
V118,21.5562,Highly Skewed,4
V119,15.4775,Highly Skewed,4
V120,12.8497,Highly Skewed,4
V121,14.3691,Highly Skewed,4
V122,15.7078,Highly Skewed,4
V123,12.8755,Highly Skewed,14
V124,6.0875,Highly Skewed,14
V125,8.9951,Highly Skewed,14
V126,29.5817,Highly Skewed,10299
V127,25.6839,Highly Skewed,24414
V128,25.0518,Highly Skewed,14507
V129,240.2742,Highly Skewed,1968
V130,26.2956,Highly Skewed,12332
V131,89.5954,Highly Skewed,4444
V132,30.2314,Highly Skewed,6560
V133,26.8642,Highly Skewed,9949
V134,25.9881,Highly Skewed,8178
V135,144.8832,Highly Skewed,3724
V136,49.022,Highly Skewed,4852
V137,90.5831,Highly Skewed,4252
V138,22.5757,Highly Skewed,23
V139,5.9139,Highly Skewed,34
V140,5.5807,Highly Skewed,34
V141,6.7482,Highly Skewed,6
V142,9.9911,Highly Skewed,10
V143,10.9993,Highly Skewed,870
V144,3.1109,Highly Skewed,63
V145,3.0162,Highly Skewed,260
V146,9.9725,Highly Skewed,25
V147,9.942,Highly Skewed,27
V148,6.014,Highly Skewed,21
V149,6.5529,Highly Skewed,21
V150,2.8469,Highly Skewed,1996
V151,2.6,Highly Skewed,56
V152,2.2025,Highly Skewed,39
V153,4.7021,Highly Skewed,19
V154,4.7607,Highly Skewed,19
V155,7.9354,Highly Skewed,25
V156,8.0631,Highly Skewed,25
V157,6.1295,Highly Skewed,25
V158,6.2258,Highly Skewed,25
V159,3.0468,Highly Skewed,6663
V160,2.9969,Highly Skewed,9621
V161,32.794,Highly Skewed,79
V162,25.2024,Highly Skewed,185
V163,30.2858,Highly Skewed,106
V164,11.0289,Highly Skewed,1978
V165,6.8091,Highly Skewed,2547
V166,27.3319,Highly Skewed,987
V167,14.9486,Highly Skewed,873
V168,12.4907,Highly Skewed,965
V169,8.8409,Highly Skewed,20
V170,8.98,Highly Skewed,49
V171,6.724,Highly Skewed,62
V172,19.5669,Highly Skewed,32
V173,6.1994,Highly Skewed,8
V174,3.4929,Highly Skewed,9
V175,6.4454,Highly Skewed,15
V176,12.1446,Highly Skewed,49
V177,15.1479,Highly Skewed,862
V178,13.3014,Highly Skewed,1236
V179,13.0465,Highly Skewed,921
V180,8.6943,Highly Skewed,84
V181,8.0832,Highly Skewed,25
V182,9.1533,Highly Skewed,84
V183,8.8538,Highly Skewed,42
V184,7.3635,Highly Skewed,17
V185,9.9417,Highly Skewed,32
V186,16.5124,Highly Skewed,39
V187,15.6784,Highly Skewed,215
V188,13.0219,Highly Skewed,31
V189,11.7791,Highly Skewed,31
V190,14.565,Highly Skewed,43
V191,17.7662,Highly Skewed,22
