feature_name,anova_f_value,p_value,predictive_strength
V257,1889.354736328125,0.0,Strong
V246,1670.759033203125,0.0,Strong
V201,1535.122802734375,0.0,Strong
V244,1488.486083984375,0.0,Strong
V242,1446.0250244140625,0.0,Strong
V45,1361.6058349609375,0.0,Strong
V189,1337.3245849609375,0.0,Strong
V200,1333.4722900390625,0.0,Strong
V87,1215.139892578125,0.0,Strong
V188,1207.143798828125,0.0,Strong
V258,1151.365234375,0.0,Strong
V44,1142.8460693359375,0.0,Strong
V86,1130.140869140625,0.0,Strong
V52,942.9255981445312,0.0,Strong
V51,858.6549072265625,0.0,Strong
V40,814.745849609375,0.0,Strong
V228,789.5542602539062,0.0,Strong
V170,774.9554443359375,0.0,Strong
V39,774.1246337890625,0.0,Strong
V199,739.7254638671875,0.0,Strong
V18,738.0285034179688,0.0,Strong
V17,733.1820068359375,0.0,Strong
V74,730.8076782226562,0.0,Strong
V94,681.7032470703125,0.0,Strong
V79,675.1898803710938,0.0,Strong
V33,673.867919921875,0.0,Strong
V123,645.0989379882812,0.0,Strong
V43,642.7052001953125,0.0,Strong
V34,633.2211303710938,0.0,Strong
V81,632.6987915039062,0.0,Strong
V23,630.212890625,0.0,Strong
V73,616.7214965820312,0.0,Strong
V230,608.7133178710938,0.0,Strong
V58,607.3234252929688,0.0,Strong
V15,606.1532592773438,0.0,Strong
V42,595.1744384765625,0.0,Strong
V93,590.7166137695312,0.0,Strong
V21,588.23828125,0.0,Strong
V92,578.0785522460938,0.0,Strong
V80,577.5472412109375,0.0,Strong
V57,558.2289428710938,0.0,Strong
V16,553.693603515625,0.0,Strong
V50,551.326416015625,0.0,Strong
V85,540.040771484375,0.0,Strong
V190,536.9710083007812,0.0,Strong
V72,534.0317993164062,0.0,Strong
V222,529.8397216796875,0.0,Strong
V31,526.5763549804688,0.0,Strong
V84,516.1014404296875,0.0,Strong
V22,515.6240234375,0.0,Strong
V247,514.8414916992188,0.0,Strong
V171,513.53125,0.0,Strong
V158,503.4298095703125,0.0,Strong
V38,502.3633728027344,0.0,Strong
V243,500.4139709472656,0.0,Strong
V156,497.038818359375,0.0,Strong
V71,493.23345947265625,0.0,Strong
V149,485.4341735839844,0.0,Strong
V302,485.2659606933594,0.0,Strong
V32,485.0212097167969,0.0,Strong
V125,481.58685302734375,0.0,Strong
V24,472.63616943359375,0.0,Strong
V195,465.8223876953125,0.0,Strong
V304,463.5930480957031,0.0,Strong
V63,450.6368408203125,0.0,Strong
V47,446.1595764160156,0.0,Strong
V259,431.2096862792969,0.0,Strong
V303,429.43157958984375,0.0,Strong
V64,423.2359619140625,0.0,Strong
V198,420.79119873046875,0.0,Strong
V60,418.71661376953125,0.0,Strong
V283,416.0580749511719,0.0,Strong
V59,410.55438232421875,0.0,Strong
V37,397.7880554199219,0.0,Strong
V147,388.88006591796875,0.0,Strong
V194,386.1453552246094,0.0,Strong
V197,369.5702819824219,0.0,Strong
V157,363.1758117675781,0.0,Strong
V155,356.32598876953125,0.0,Strong
V282,353.98895263671875,0.0,Strong
V176,348.7651672363281,0.0,Strong
V148,341.4188232421875,0.0,Strong
V221,338.7607116699219,0.0,Strong
V78,330.9044189453125,0.0,Strong
V252,330.79876708984375,0.0,Strong
V239,329.77423095703125,0.0,Strong
V140,315.3900451660156,0.0,Strong
V154,306.36529541015625,0.0,Strong
V113,282.5374755859375,0.0,Strong
V46,282.10125732421875,0.0,Strong
