feature_name,feature_group,data_type,missing_percentage,unique_values,cardinality,availability
V1,V-Series,float32,47.2935,2,Binary,Medium
V2,V-Series,float32,47.2935,9,Low,Medium
V3,V-Series,float32,47.2935,10,Low,Medium
V4,V-Series,float32,47.2935,7,Low,Medium
V5,V-Series,float32,47.2935,7,Low,Medium
V6,V-Series,float32,47.2935,10,Low,Medium
V7,V-Series,float32,47.2935,10,Low,Medium
V8,V-Series,float32,47.2935,9,Low,Medium
V9,V-Series,float32,47.2935,9,Low,Medium
V10,V-Series,float32,47.2935,5,Low,Medium
V11,V-Series,float32,47.2935,6,Low,Medium
V12,V-Series,float32,12.8819,4,Low,High
V13,V-Series,float32,12.8819,7,Low,High
V14,V-Series,float32,12.8819,2,Binary,High
V15,V-Series,float32,12.8819,8,Low,High
V16,V-Series,float32,12.8819,15,High,High
V17,V-Series,float32,12.8819,16,High,High
V18,V-Series,float32,12.8819,16,High,High
V19,V-Series,float32,12.8819,8,Low,High
V20,V-Series,float32,12.8819,15,High,High
V21,V-Series,float32,12.8819,6,Low,High
V22,V-Series,float32,12.8819,9,Low,High
V23,V-Series,float32,12.8819,14,High,High
V24,V-Series,float32,12.8819,14,High,High
V25,V-Series,float32,12.8819,7,Low,High
V26,V-Series,float32,12.8819,13,High,High
V27,V-Series,float32,12.8819,4,Low,High
V28,V-Series,float32,12.8819,4,Low,High
V29,V-Series,float32,12.8819,6,Low,High
V30,V-Series,float32,12.8819,8,Low,High
V31,V-Series,float32,12.8819,8,Low,High
V32,V-Series,float32,12.8819,15,High,High
V33,V-Series,float32,12.8819,7,Low,High
V34,V-Series,float32,12.8819,13,High,High
V35,V-Series,float32,28.6126,4,Low,Medium
V36,V-Series,float32,28.6126,6,Low,Medium
V37,V-Series,float32,28.6126,55,High,Medium
V38,V-Series,float32,28.6126,55,High,Medium
V39,V-Series,float32,28.6126,16,High,Medium
V40,V-Series,float32,28.6126,18,High,Medium
V41,V-Series,float32,28.6126,2,Binary,Medium
V42,V-Series,float32,28.6126,9,Low,Medium
V43,V-Series,float32,28.6126,9,Low,Medium
V44,V-Series,float32,28.6126,49,High,Medium
V45,V-Series,float32,28.6126,49,High,Medium
V46,V-Series,float32,28.6126,7,Low,Medium
V47,V-Series,float32,28.6126,9,Low,Medium
V48,V-Series,float32,28.6126,6,Low,Medium
V49,V-Series,float32,28.6126,6,Low,Medium
V50,V-Series,float32,28.6126,6,Low,Medium
V51,V-Series,float32,28.6126,7,Low,Medium
V52,V-Series,float32,28.6126,9,Low,Medium
V53,V-Series,float32,13.0552,6,Low,High
V54,V-Series,float32,13.0552,7,Low,High
V55,V-Series,float32,13.0552,18,High,High
V56,V-Series,float32,13.0552,52,High,High
V57,V-Series,float32,13.0552,7,Low,High
V58,V-Series,float32,13.0552,11,High,High
V59,V-Series,float32,13.0552,17,High,High
V60,V-Series,float32,13.0552,17,High,High
V61,V-Series,float32,13.0552,7,Low,High
V62,V-Series,float32,13.0552,11,High,High
V63,V-Series,float32,13.0552,8,Low,High
V64,V-Series,float32,13.0552,8,Low,High
V65,V-Series,float32,13.0552,2,Binary,High
V66,V-Series,float32,13.0552,8,Low,High
V67,V-Series,float32,13.0552,9,Low,High
V68,V-Series,float32,13.0552,3,Low,High
V69,V-Series,float32,13.0552,6,Low,High
V70,V-Series,float32,13.0552,7,Low,High
V71,V-Series,float32,13.0552,7,Low,High
V72,V-Series,float32,13.0552,11,High,High
V73,V-Series,float32,13.0552,8,Low,High
V74,V-Series,float32,13.0552,9,Low,High
V75,V-Series,float32,15.0987,5,Low,High
V76,V-Series,float32,15.0987,7,Low,High
