feature_name,missing_count,missing_percentage,missingness_classification,informative_missingness_ratio
D7,551623,93.4099,High Missing,0.1812
D13,528588,89.5093,High Missing,0.237
D14,528353,89.4695,High Missing,0.2195
D12,525823,89.041,High Missing,0.2116
D6,517353,87.6068,High Missing,0.2373
D9,515614,87.3123,High Missing,0.2383
D8,515614,87.3123,High Missing,0.2383
V148,508595,86.1237,High Missing,0.751
V147,508595,86.1237,High Missing,0.751
V146,508595,86.1237,High Missing,0.751
V163,508595,86.1237,High Missing,0.751
V156,508595,86.1237,High Missing,0.751
V162,508595,86.1237,High Missing,0.751
V155,508595,86.1237,High Missing,0.751
V140,508595,86.1237,High Missing,0.751
V141,508595,86.1237,High Missing,0.751
V149,508595,86.1237,High Missing,0.751
V142,508595,86.1237,High Missing,0.751
V161,508595,86.1237,High Missing,0.751
V153,508595,86.1237,High Missing,0.751
V158,508595,86.1237,High Missing,0.751
V157,508595,86.1237,High Missing,0.751
V154,508595,86.1237,High Missing,0.751
V139,508595,86.1237,High Missing,0.751
V138,508595,86.1237,High Missing,0.751
V152,508589,86.1227,High Missing,0.7508
V151,508589,86.1227,High Missing,0.7508
V150,508589,86.1227,High Missing,0.7508
V144,508589,86.1227,High Missing,0.7508
V159,508589,86.1227,High Missing,0.7508
V164,508589,86.1227,High Missing,0.7508
V165,508589,86.1227,High Missing,0.7508
V160,508589,86.1227,High Missing,0.7508
V145,508589,86.1227,High Missing,0.7508
V143,508589,86.1227,High Missing,0.7508
V166,508589,86.1227,High Missing,0.7508
V330,508189,86.055,High Missing,0.7464
V339,508189,86.055,High Missing,0.7464
V338,508189,86.055,High Missing,0.7464
V337,508189,86.055,High Missing,0.7464
V336,508189,86.055,High Missing,0.7464
V335,508189,86.055,High Missing,0.7464
V322,508189,86.055,High Missing,0.7464
V333,508189,86.055,High Missing,0.7464
V332,508189,86.055,High Missing,0.7464
V331,508189,86.055,High Missing,0.7464
V334,508189,86.055,High Missing,0.7464
V329,508189,86.055,High Missing,0.7464
V328,508189,86.055,High Missing,0.7464
V323,508189,86.055,High Missing,0.7464
V324,508189,86.055,High Missing,0.7464
V326,508189,86.055,High Missing,0.7464
V327,508189,86.055,High Missing,0.7464
V325,508189,86.055,High Missing,0.7464
V226,460110,77.9134,High Missing,0.2912
V217,460110,77.9134,High Missing,0.2912
V228,460110,77.9134,High Missing,0.2912
V225,460110,77.9134,High Missing,0.2912
V223,460110,77.9134,High Missing,0.2912
V229,460110,77.9134,High Missing,0.2912
V230,460110,77.9134,High Missing,0.2912
V231,460110,77.9134,High Missing,0.2912
V232,460110,77.9134,High Missing,0.2912
V218,460110,77.9134,High Missing,0.2912
V233,460110,77.9134,High Missing,0.2912
V219,460110,77.9134,High Missing,0.2912
V235,460110,77.9134,High Missing,0.2912
V236,460110,77.9134,High Missing,0.2912
V237,460110,77.9134,High Missing,0.2912
