feature_name,count,mean,std,min,25%,50%,75%,max,skewness,outlier_percentage,correlation_to_target
C1,590540.0,14.09245777130127,133.09483337402344,0.0,1.0,1.0,3.0,4685.0,23.958,10.0815,0.0306
C2,590540.0,15.269734382629395,154.18008422851562,0.0,1.0,1.0,3.0,5691.0,23.6774,10.5351,0.0372
C3,590540.0,0.005643986631184816,0.15043951570987701,0.0,0.0,0.0,0.0,26.0,88.9497,0.4113,-0.0068
C4,590540.0,4.092185020446777,68.75060272216797,0.0,0.0,0.0,0.0,2253.0,22.0777,23.4797,0.0304
C5,590540.0,5.571526050567627,25.80136489868164,0.0,0.0,0.0,1.0,349.0,5.7937,10.2357,-0.0308
C6,590540.0,9.07108211517334,71.15841674804688,0.0,1.0,1.0,2.0,2253.0,19.7669,13.264,0.0209
C7,590540.0,2.848477602005005,61.6712760925293,0.0,0.0,0.0,0.0,2255.0,27.194,11.4129,0.0282
C8,590540.0,5.1445746421813965,95.26327514648438,0.0,0.0,0.0,0.0,3331.0,26.0834,24.1936,0.0321
C9,590540.0,4.480240345001221,16.704870223999023,0.0,0.0,1.0,2.0,210.0,5.6938,7.2186,-0.0317
C10,590540.0,5.240342617034912,95.46136474609375,0.0,0.0,0.0,0.0,3257.0,25.2205,23.2157,0.0284
C11,590540.0,10.241520881652832,93.98554992675781,0.0,1.0,1.0,2.0,3188.0,22.357,12.6738,0.0275
C12,590540.0,4.076226711273193,86.58580017089844,0.0,0.0,0.0,0.0,3188.0,27.4151,17.1607,0.0319
C13,590540.0,32.5399169921875,129.42962646484375,0.0,1.0,3.0,12.0,2918.0,8.9864,12.8071,-0.0111
C14,590540.0,8.295214653015137,49.26812744140625,0.0,1.0,1.0,2.0,1429.0,16.5349,16.2715,0.0079
