feature_name,count,mean,std,min,25%,50%,75%,max,missing_percentage,correlation_to_target
D1,589271.0,94.3475570678711,157.75352478027344,0.0,0.0,3.0,122.0,640.0,0.2149,-0.0672
D2,309743.0,169.563232421875,177.29660034179688,0.0,26.0,97.0,276.0,640.0,47.5492,-0.0836
D3,327662.0,28.343347549438477,62.39372253417969,0.0,1.0,8.0,27.0,819.0,44.5149,-0.0463
D4,421618.0,140.00244140625,191.0331573486328,-122.0,0.0,26.0,253.0,869.0,28.6047,-0.0672
D5,280699.0,42.33596420288086,88.99407958984375,0.0,1.0,10.0,32.0,819.0,52.4674,-0.0646
D6,73187.0,69.80571746826172,143.6589813232422,-83.0,0.0,0.0,40.0,873.0,87.6068,-0.0572
D7,38917.0,41.63895034790039,99.73197937011719,0.0,0.0,0.0,17.0,843.0,93.4099,-0.1272
D8,74926.0,146.05809020996094,231.6535186767578,0.0,0.9583330154418945,37.875,187.9583282470703,1707.7916259765625,87.3123,-0.1426
D9,74926.0,0.5610573291778564,0.3168720006942749,0.0,0.20833300054073334,0.6666659712791443,0.8333330154418945,0.9583330154418945,87.3123,-0.0443
D10,514518.0,123.98213958740234,182.61204528808594,0.0,0.0,15.0,197.0,876.0,12.8733,-0.072
D11,311253.0,146.62147521972656,186.0388946533203,-53.0,0.0,43.0,274.0,670.0,47.2935,-0.0451
D12,64717.0,54.037532806396484,124.29644012451172,-83.0,0.0,0.0,13.0,648.0,89.041,-0.0289
D13,61952.0,17.901294708251953,67.61190795898438,0.0,0.0,0.0,0.0,847.0,89.5093,-0.0594
D14,62187.0,57.72444534301758,136.3036651611328,-193.0,0.0,0.0,2.0,878.0,89.4695,-0.0087
D15,501427.0,163.74456787109375,202.61239624023438,-83.0,0.0,52.0,314.0,879.0,15.0901,-0.0775
