feature_name,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,outlier_percentage
V1,311253.0,0.9999454021453857,0.007390005048364401,0.0,1.0,1.0,1.0,1.0,-135.3003,18304.295,0.0055
V2,311253.0,1.0452044010162354,0.24000810086727142,0.0,1.0,1.0,1.0,8.0,6.7569,65.1371,3.9707
V3,311253.0,1.0780746936798096,0.3205927908420563,0.0,1.0,1.0,1.0,9.0,5.3752,42.1572,6.6409
V4,311253.0,0.8464561104774475,0.43983104825019836,0.0,1.0,1.0,1.0,6.0,-0.433,3.2548,20.804
V5,311253.0,0.8769907355308533,0.47619563341140747,0.0,1.0,1.0,1.0,6.0,0.2313,5.4962,21.9661
V6,311253.0,1.0456863641738892,0.23923403024673462,0.0,1.0,1.0,1.0,9.0,6.7067,66.6533,4.0565
V7,311253.0,1.0728700160980225,0.3048744797706604,0.0,1.0,1.0,1.0,9.0,5.4988,45.7828,6.3511
V8,311253.0,1.027704119682312,0.18632954359054565,0.0,1.0,1.0,1.0,8.0,8.5905,109.2126,2.5018
V9,311253.0,1.0415289402008057,0.22666136920452118,0.0,1.0,1.0,1.0,8.0,6.9269,71.5495,3.7359
V10,311253.0,0.4639151990413666,0.522200345993042,0.0,0.0,0.0,1.0,4.0,0.4188,-1.0569,0.0601
V11,311253.0,0.47898656129837036,0.5520845651626587,0.0,0.0,0.0,1.0,5.0,0.7366,0.5823,0.257
V12,514467.0,0.5597113370895386,0.510737955570221,0.0,0.0,1.0,1.0,3.0,-0.0696,-1.5244,0.0233
V13,514467.0,0.5991657376289368,0.532856285572052,0.0,0.0,1.0,1.0,6.0,0.0766,-0.7059,0.0797
V14,514467.0,0.9995004534721375,0.02233973518013954,0.0,1.0,1.0,1.0,1.0,-44.7083,1996.837,0.05
V15,514467.0,0.12234215438365936,0.3329765200614929,0.0,0.0,0.0,0.0,7.0,2.5871,8.4598,12.1275
V16,514467.0,0.1234598159790039,0.34335067868232727,0.0,0.0,0.0,0.0,15.0,3.8332,54.5392,12.132
V17,514467.0,0.13403970003128052,0.36515793204307556,0.0,0.0,0.0,0.0,15.0,3.7941,41.8217,12.954
V18,514467.0,0.1353633999824524,0.37201520800590515,0.0,0.0,0.0,0.0,15.0,4.0078,44.3848,12.96
V19,514467.0,0.8163711428642273,0.4252279996871948,0.0,1.0,1.0,1.0,7.0,-0.8777,2.0813,21.1485
V20,514467.0,0.8478425145149231,0.45967984199523926,0.0,1.0,1.0,1.0,15.0,0.2513,15.4434,21.8747
V21,514467.0,0.1296837329864502,0.3386804759502411,0.0,0.0,0.0,0.0,5.0,2.308,3.9388,12.8768
V22,514467.0,0.1322922557592392,0.3582981824874878,0.0,0.0,0.0,0.0,8.0,3.634,31.6573,12.8836
V23,514467.0,1.034791350364685,0.24823111295700073,0.0,1.0,1.0,1.0,13.0,12.1166,262.6732,3.0523
V24,514467.0,1.058097004890442,0.305876225233078,0.0,1.0,1.0,1.0,13.0,9.0865,154.103,5.0516
V25,514467.0,0.9776603579521179,0.1854880154132843,0.0,1.0,1.0,1.0,7.0,-2.6481,32.7276,3.3483
V26,514467.0,0.988040030002594,0.2090112417936325,0.0,1.0,1.0,1.0,13.0,2.6869,153.454,3.7608
V27,514467.0,0.0007755599217489362,0.028585540130734444,0.0,0.0,0.0,0.0,4.0,40.5671,2088.4993,0.076
V28,514467.0,0.0008299851906485856,0.03112197294831276,0.0,0.0,0.0,0.0,4.0,42.8853,2266.344,0.0766
V29,514467.0,0.38784024119377136,0.5105062127113342,0.0,0.0,0.0,1.0,5.0,0.7744,-0.3771,0.0797
V30,514467.0,0.40643617510795593,0.5548192858695984,0.0,0.0,0.0,1.0,9.0,1.2828,3.5313,0.3172
V31,514467.0,0.14076121151447296,0.35549765825271606,0.0,0.0,0.0,0.0,7.0,2.4384,7.7969,13.8827
V32,514467.0,0.1424172967672348,0.3677394688129425,0.0,0.0,0.0,0.0,15.0,3.5309,43.5678,13.888
V33,514467.0,0.13069254159927368,0.3399873971939087,0.0,0.0,0.0,0.0,7.0,2.3374,4.5511,12.9645
V34,514467.0,0.13915371894836426,0.35778889060020447,0.0,0.0,0.0,0.0,13.0,2.9522,23.4433,13.6992
V35,421571.0,0.5425942540168762,0.5168759822845459,0.0,0.0,1.0,1.0,3.0,0.0359,-1.4622,0.0211
V36,421571.0,0.5791978240013123,0.53974848985672,0.0,0.0,1.0,1.0,5.0,0.1814,-0.7217,0.1203
V37,421571.0,1.108064889907837,0.6915265917778015,0.0,1.0,1.0,1.0,54.0,22.6304,1040.8173,6.2488
V38,421571.0,1.1623996496200562,0.8604246973991394,0.0,1.0,1.0,1.0,54.0,18.3592,625.8419,9.3645
V39,421571.0,0.1660764068365097,0.4527662992477417,0.0,0.0,0.0,0.0,15.0,5.9516,92.6619,15.081
V40,421571.0,0.17714454233646393,0.5057674646377563,0.0,0.0,0.0,0.0,24.0,6.6453,106.5484,15.1182
V41,421571.0,0.999269425868988,0.027010273188352585,0.0,1.0,1.0,1.0,1.0,-36.956,1363.7542,0.0731
V42,421571.0,0.15611842274665833,0.3819635808467865,0.0,0.0,0.0,0.0,8.0,2.4411,7.2945,14.9754
V43,421571.0,0.16894188523292542,0.4333536922931671,0.0,0.0,0.0,0.0,8.0,3.0941,14.1078,15.0176
V44,421571.0,1.0838909149169922,0.6378093361854553,0.0,1.0,1.0,1.0,48.0,29.0395,1342.66,5.6735
