feature_name,feature_type,missing_percentage,data_availability
TransactionAmt,Float,0.0,Both
card1,Integer,0.0,Both
card2,Float,1.5127,Both
card3,Float,0.265,Both
card5,Float,0.7212,Both
addr1,Float,11.1264,Both
addr2,Float,11.1264,Both
dist1,Float,59.6524,Both
dist2,Float,93.6284,Both
C1,Float,0.0,Both
C2,Float,0.0,Both
C3,Float,0.0,Both
C4,Float,0.0,Both
C5,Float,0.0,Both
C6,Float,0.0,Both
C7,Float,0.0,Both
C8,Float,0.0,Both
C9,Float,0.0,Both
C10,Float,0.0,Both
C11,Float,0.0,Both
C12,Float,0.0,Both
C13,Float,0.0,Both
C14,Float,0.0,Both
D1,Float,0.2149,Both
D2,Float,47.5492,Both
D3,Float,44.5149,Both
D4,Float,28.6047,Both
D5,Float,52.4674,Both
D6,Float,87.6068,Both
D7,Float,93.4099,Both
D8,Float,87.3123,Both
D9,Float,87.3123,Both
D10,Float,12.8733,Both
D11,Float,47.2935,Both
D12,Float,89.041,Both
D13,Float,89.5093,Both
D14,Float,89.4695,Both
D15,Float,15.0901,Both
M1,Float,45.9071,Both
M2,Float,45.9071,Both
M3,Float,45.9071,Both
M5,Float,59.3494,Both
M6,Float,28.6788,Both
M7,Float,58.6353,Both
M8,Float,58.6331,Both
M9,Float,58.6331,Both
V1,Float,47.2935,Both
V2,Float,47.2935,Both
V3,Float,47.2935,Both
V4,Float,47.2935,Both
V5,Float,47.2935,Both
V6,Float,47.2935,Both
V7,Float,47.2935,Both
V8,Float,47.2935,Both
V9,Float,47.2935,Both
V10,Float,47.2935,Both
V11,Float,47.2935,Both
V12,Float,12.8819,Both
V13,Float,12.8819,Both
V14,Float,12.8819,Both
V15,Float,12.8819,Both
V16,Float,12.8819,Both
V17,Float,12.8819,Both
V18,Float,12.8819,Both
V19,Float,12.8819,Both
V20,Float,12.8819,Both
V21,Float,12.8819,Both
V22,Float,12.8819,Both
V23,Float,12.8819,Both
V24,Float,12.8819,Both
V25,Float,12.8819,Both
V26,Float,12.8819,Both
V27,Float,12.8819,Both
V28,Float,12.8819,Both
V29,Float,12.8819,Both
V30,Float,12.8819,Both
