,id_02,V160,V332,V203,V159,V165,V333,V212,V204,V331,V164,V213,card1,V202,V307,V127,V211,V317,V133,V308,V128,V318,V134,V264,V306,V126,V316,V132,V265,V274,V275,V263,V273,V215,V338,V166,V150,V207,V267,V277
id_02,1.0,-0.03921202633365636,-0.10987753339878278,-0.07041332471535797,-0.051452811806891756,-0.12072962514388151,-0.11076138563863856,-0.08137742322292885,-0.08295990909379228,-0.09270422127095493,-0.10171513142128491,-0.08851986814225117,0.025583046495614017,-0.07899116311899668,-0.09703891897295362,-0.09604352332945854,-0.08046063193574474,-0.09363262135908199,-0.0932400928074951,-0.09951199495212983,-0.09848359379739556,-0.09712156745449069,-0.09647264812162698,-0.051534768444561875,-0.08547673819651139,-0.08396322171845892,-0.08433259734173432,-0.08354244950147285,-0.04722035175625844,-0.04502554818297583,-0.04463729454335284,-0.03917510646032225,-0.04278517236847236,-0.05146985681808905,-0.09649898363047271,-0.025399361190219728,-0.05174737744818753,0.024673817226489373,-0.05798188553506059,-0.029435492884397955
V160,-0.03921202633365636,1.0,-0.038845021664446006,-0.04936114884736237,0.8753399151589567,0.44036603744885267,-0.040155192243785526,-0.0426829296344023,-0.046994008783145594,-0.03585105866939557,0.07526748431209236,-0.041256830435881006,-0.015008424766503126,-0.03764734556145068,-0.03775101222861943,-0.03776363958957688,-0.03371475648023558,-0.03583742349695105,-0.03579733321535718,-0.03905436587350715,-0.039188881521410035,-0.03736884248928471,-0.037250992939692196,-0.0323358949700284,-0.034567240801581293,-0.0348013053960464,-0.03274095436992698,-0.032616609411300596,-0.03449590673825243,-0.029432826695335545,-0.026955269864545384,-0.03355849703125032,-0.024614320948892692,-0.06074510957716879,-0.04953861271613294,0.8404982128231743,0.9461173566062699,-0.03288737066987053,-0.019742234855235786,-0.04078030019463781
V332,-0.10987753339878278,-0.038845021664446006,1.0,0.8869969499414907,-0.03854211641125815,0.8697568368142998,0.9942601521714117,0.9675605014963009,0.956840044424305,0.9143848386907157,0.9015702063351062,0.9845920501492048,0.14257706834511844,0.9085447322564831,0.9981165614071786,0.9986151985335132,0.9087191660046107,0.9978711201919044,0.9980380442670367,0.9924585565285832,0.9928899766860546,0.9953494850704176,0.9953452948797382,0.510976124295631,0.9133228052372803,0.9142323874988317,0.911179018533682,0.911212878277319,0.7336651856307717,0.7133317900982852,0.8198543950616551,0.8622681389418918,0.8744238609687247,0.5466610745755685,0.890248832733341,0.10049285290146236,-0.04074167846627488,0.09295338478857544,0.07513395123911204,0.3571872642135315
V203,-0.07041332471535797,-0.04936114884736237,0.8869969499414907,1.0,-0.048456684792902015,0.768694753107309,0.880626899102624,0.9682089867391519,0.9682064887008002,0.8126467014497507,0.8001177908207765,0.9313398781359441,0.09534892950112435,0.8439638824586558,0.8877634282971589,0.8877808135733685,0.8249695127234772,0.8865596124187709,0.8866714150433994,0.8807796080050816,0.8807198069960114,0.8814243569400723,0.881689552496127,0.9836830313521067,0.8120828586525065,0.8127528224363149,0.8086934217629497,0.8093057761382716,0.9785387440118949,0.9298847117605494,0.930211478527143,0.9349709320536544,0.9059375278462443,0.7981425732691266,0.7823903436454186,0.08214948360814886,-0.051063087890415575,0.47122896506270523,0.5309284646177107,0.6889603403361878
V159,-0.051452811806891756,0.8753399151589567,-0.03854211641125815,-0.048456684792902015,1.0,0.4129184771370487,-0.03979894741472196,-0.04217227609576652,-0.04637045754562795,-0.035762356075526344,0.07539285873673657,-0.040878380065042894,-0.028334321496898567,-0.037521546568418225,-0.03761071397163028,-0.03761022142758316,-0.033778491825189154,-0.03577925442945631,-0.03573772156457626,-0.03880717791686915,-0.038926927584757576,-0.037200048945888,-0.03709808691825901,-0.03188050294696618,-0.03461931883922286,-0.03484624251905753,-0.03288429779950358,-0.03278071434667415,-0.03411969236492413,-0.028734887120073282,-0.026430753489417258,-0.03235471721826294,-0.02374442728418844,-0.0589649131047363,-0.04822805933480046,0.8588435158220017,0.9695216063419541,-0.0317301588174085,-0.020479220562763682,-0.03972597411965712
V165,-0.12072962514388151,0.44036603744885267,0.8697568368142998,0.768694753107309,0.4129184771370487,1.0,0.8720808908719974,0.8429173192794893,0.8394567283221974,0.7920316215603399,0.839529750678617,0.8652352734591886,0.11740986373313939,0.7890165787209991,0.8704412896666214,0.8699972116603095,0.790324855277837,0.8699126228703169,0.8694488579024029,0.8725929341684839,0.8715216197397203,0.8740937792609021,0.8735429329768185,0.17436403158986316,0.7929532885500168,0.7915869367263221,0.790796630917302,0.7902020118790254,0.2714402496820577,0.2675930616988324,0.3148874433218058,0.31285946402193876,0.3308234772678703,0.47959945618421274,0.7643195806628018,0.5071546689815823,0.43397740731880663,0.0708455037079303,0.010693633679258036,0.09188416164197648
V333,-0.11076138563863856,-0.040155192243785526,0.9942601521714117,0.880626899102624,-0.03979894741472196,0.8720808908719974,1.0,0.9580225744650795,0.958161212950859,0.9041265117950504,0.8893902428081351,0.9833377715769411,0.14752985216691286,0.8945708276659939,0.9928791791400955,0.9938226743980172,0.8926818908034215,0.9903717336396324,0.9904642706873247,0.997463309627413,0.9986073188376816,0.9982070315858984,0.9983531120962259,0.5184876907014139,0.9021871477993014,0.9039207559542979,0.8985252779598454,0.8988105004276324,0.7536499389591704,0.7336443884560061,0.8443921942560652,0.8886677281435373,0.9008987534257972,0.5562709061140249,0.9007954872119496,0.10885934400368608,-0.0420997156902552,0.09632067164635728,0.07231354418701073,0.34407663175441816
V212,-0.08137742322292885,-0.0426829296344023,0.9675605014963009,0.9682089867391519,-0.04217227609576652,0.8429173192794893,0.9580225744650795,1.0,0.9867466982094242,0.8897584355143392,0.8794477958275914,0.9878724037954509,0.10051827386620366,0.9068138725540448,0.9671957057184309,0.9675950023889971,0.9005168588686269,0.9697710985252133,0.9697133919830657,0.9565317055392771,0.9568045099362869,0.9616556479444266,0.9617192127509759,0.9169037675589972,0.8889728622734373,0.8900230725449252,0.88857049605987,0.8887761439699157,0.9202911955824153,0.9820604912417915,0.9827288018574056,0.9370056861655017,0.9818268137785824,0.6706581684173637,0.8305682114706885,0.0864095432507723,-0.04450264587484116,0.27742090757314425,0.3449303139233954,0.41290029410564555
V204,-0.08295990909379228,-0.046994008783145594,0.956840044424305,0.9682064887008002,-0.04637045754562795,0.8394567283221974,0.958161212950859,0.9867466982094242,1.0,0.8714521653337336,0.8587154739706456,0.9856510460117655,0.10499126834117833,0.8918914220434452,0.9578623082095167,0.9575241438397528,0.8777832144077033,0.9542722620785015,0.9543012127495031,0.9585994326016838,0.9579814021734816,0.956831158047216,0.9569949222835155,0.9784902045636897,0.8711230779071913,0.8709928139847103,0.8657949258297759,0.8662736888673811,0.9856747152927186,0.9342659950856389,0.9359595455677243,0.9426757190749777,0.9106738255525619,0.7116420189157694,0.8570576067659327,0.10036536391190481,-0.04886995133750438,0.33874933092346504,0.5279548932176442,0.6619332562196756
V331,-0.09270422127095493,-0.03585105866939557,0.9143848386907157,0.8126467014497507,-0.035762356075526344,0.7920316215603399,0.9041265117950504,0.8897584355143392,0.8714521653337336,1.0,0.9891729275025399,0.897105027767556,0.12992684070830082,0.9886795851302916,0.9127690588626486,0.9137092943868533,0.9903529343576699,0.9172992715997884,0.9175848314085406,0.9017420236503658,0.9026944181893426,0.9056303235547317,0.9059808387079902,0.5065760258261116,0.9970230480783017,0.9993146689976343,0.9975173886091866,0.9978619959860562,0.7397076970812163,0.7211669309082824,0.8305468495368299,0.8904149583920449,0.897505622297647,0.47740863960768315,0.7734398515526169,0.11031722552174837,-0.037488595598706154,0.08543435128539531,0.06528740646249648,0.3319145632968836
V164,-0.10171513142128491,0.07526748431209236,0.9015702063351062,0.8001177908207765,0.07539285873673657,0.839529750678617,0.8893902428081351,0.8794477958275914,0.8587154739706456,0.9891729275025399,1.0,0.8862486878333887,0.12218773648186021,0.9804733292222455,0.9016541118490488,0.9010212704779891,0.9843914328756955,0.9070628146760413,0.9065557469903227,0.8896039881900218,0.8881810046351475,0.8937964395741166,0.8931236064228567,0.44470142759619374,0.989088216467545,0.9875180751555686,0.9901852911940375,0.989153838861067,0.6637924055772888,0.6568051980290776,0.7591336751454728,0.7978977364783976,0.8235256054119342,0.47025412573201136,0.7424983314140082,0.19657848899935002,0.0762360640907523,0.07891243047405727,0.049387325934206715,0.26231586798674933
