source,target,weight
V160,V159,0.8753
V160,V150,0.9461
V332,V203,0.887
V332,V165,0.8698
V332,V333,0.9943
V332,V212,0.9676
V332,V204,0.9568
V332,V331,0.9144
V332,V164,0.9016
V332,V213,0.9846
V332,V202,0.9085
V332,V307,0.9981
V332,V127,0.9986
V332,V211,0.9087
V332,V317,0.9979
V332,V133,0.998
V332,V308,0.9925
V332,V128,0.9929
V332,V318,0.9953
V332,V134,0.9953
V332,V306,0.9133
V332,V126,0.9142
V332,V316,0.9112
V332,V132,0.9112
V332,V263,0.8623
V332,V273,0.8744
V332,V338,0.8902
V203,V333,0.8806
V203,V212,0.9682
V203,V204,0.9682
V203,V213,0.9313
V203,V307,0.8878
V203,V127,0.8878
V203,V317,0.8866
V203,V133,0.8867
V203,V308,0.8808
V203,V128,0.8807
V203,V318,0.8814
V203,V134,0.8817
V203,V264,0.9837
V203,V265,0.9785
V203,V274,0.9299
V203,V275,0.9302
V203,V263,0.935
V203,V273,0.9059
V159,V166,0.8588
V159,V150,0.9695
V165,V333,0.8721
V165,V213,0.8652
V165,V307,0.8704
V165,V127,0.87
V165,V317,0.8699
V165,V133,0.8694
V165,V308,0.8726
V165,V128,0.8715
V165,V318,0.8741
V165,V134,0.8735
V333,V212,0.958
V333,V204,0.9582
V333,V331,0.9041
V333,V164,0.8894
V333,V213,0.9833
V333,V202,0.8946
V333,V307,0.9929
V333,V127,0.9938
V333,V211,0.8927
V333,V317,0.9904
V333,V133,0.9905
V333,V308,0.9975
V333,V128,0.9986
V333,V318,0.9982
V333,V134,0.9984
V333,V306,0.9022
V333,V126,0.9039
V333,V316,0.8985
V333,V132,0.8988
V333,V263,0.8887
V333,V273,0.9009
V333,V338,0.9008
V212,V204,0.9867
V212,V331,0.8898
V212,V164,0.8794
V212,V213,0.9879
V212,V202,0.9068
V212,V307,0.9672
V212,V127,0.9676
V212,V211,0.9005
V212,V317,0.9698
V212,V133,0.9697
V212,V308,0.9565
V212,V128,0.9568
V212,V318,0.9617
V212,V134,0.9617
V212,V264,0.9169
V212,V306,0.889
V212,V126,0.89
V212,V316,0.8886
V212,V132,0.8888
V212,V265,0.9203
V212,V274,0.9821
V212,V275,0.9827
V212,V263,0.937
V212,V273,0.9818
V204,V331,0.8715
V204,V164,0.8587
V204,V213,0.9857
V204,V202,0.8919
V204,V307,0.9579
V204,V127,0.9575
V204,V211,0.8778
V204,V317,0.9543
V204,V133,0.9543
V204,V308,0.9586
V204,V128,0.958
V204,V318,0.9568
V204,V134,0.957
V204,V264,0.9785
V204,V306,0.8711
V204,V126,0.871
