feature_1,feature_2,correlation,decision,reason
V160,V150,0.9461,"Retain V150, Remove V160",MI: V150(0.0000) > V160(0.0034)
V332,V333,0.9943,"Retain V332, Remove V333",MI: V332(0.0019) > V333(0.0000)
V332,V212,0.9676,"Retain V212, Remove V332",MI: V212(0.0019) > V332(0.0132)
V332,V204,0.9568,"Retain V204, Remove V332",MI: V204(0.0019) > V332(0.0082)
V332,V331,0.9144,"Retain V332, Remove V331",MI: V332(0.0019) > V331(0.0000)
V332,V164,0.9016,"Retain V164, Remove V332",MI: V164(0.0019) > V332(0.0051)
V332,V213,0.9846,"Retain V213, Remove V332",MI: V213(0.0019) > V332(0.0124)
V332,V202,0.9085,"Retain V202, Remove V332",MI: V202(0.0019) > V332(0.0104)
V332,V307,0.9981,"Retain V307, Remove V332",MI: V307(0.0019) > V332(0.0033)
V332,V127,0.9986,"Retain V332, Remove V127",MI: V332(0.0019) > V127(0.0000)
V332,V211,0.9087,"Retain V211, Remove V332",MI: V211(0.0019) > V332(0.0085)
V332,V317,0.9979,"Retain V317, Remove V332",MI: V317(0.0019) > V332(0.0052)
V332,V133,0.998,"Retain V133, Remove V332",MI: V133(0.0019) > V332(0.0037)
V332,V308,0.9925,"Retain V308, Remove V332",MI: V308(0.0019) > V332(0.0043)
V332,V128,0.9929,"Retain V128, Remove V332",MI: V128(0.0019) > V332(0.0047)
V332,V318,0.9953,"Retain V318, Remove V332",MI: V318(0.0019) > V332(0.0070)
V332,V134,0.9953,"Retain V134, Remove V332",MI: V134(0.0019) > V332(0.0062)
V332,V306,0.9133,"Retain V332, Remove V306",MI: V332(0.0019) > V306(0.0007)
V332,V126,0.9142,"Retain V126, Remove V332",MI: V126(0.0019) > V332(0.0057)
V332,V316,0.9112,"Retain V332, Remove V316",MI: V332(0.0019) > V316(0.0000)
V332,V132,0.9112,"Retain V132, Remove V332",MI: V132(0.0019) > V332(0.0023)
V203,V212,0.9682,"Retain V203, Remove V212",MI: V203(0.0139) > V212(0.0132)
V203,V204,0.9682,"Retain V203, Remove V204",MI: V203(0.0139) > V204(0.0082)
V203,V213,0.9313,"Retain V203, Remove V213",MI: V203(0.0139) > V213(0.0124)
V203,V264,0.9837,"Retain V264, Remove V203",MI: V264(0.0139) > V203(0.0163)
V203,V265,0.9785,"Retain V203, Remove V265",MI: V203(0.0139) > V265(0.0127)
V203,V274,0.9299,"Retain V203, Remove V274",MI: V203(0.0139) > V274(0.0113)
V203,V275,0.9302,"Retain V203, Remove V275",MI: V203(0.0139) > V275(0.0111)
V203,V263,0.935,"Retain V263, Remove V203",MI: V263(0.0139) > V203(0.0181)
V203,V273,0.9059,"Retain V203, Remove V273",MI: V203(0.0139) > V273(0.0104)
V159,V150,0.9695,"Retain V150, Remove V159",MI: V150(0.0000) > V159(0.0034)
V333,V212,0.958,"Retain V212, Remove V333",MI: V212(0.0000) > V333(0.0132)
V333,V204,0.9582,"Retain V204, Remove V333",MI: V204(0.0000) > V333(0.0082)
V333,V331,0.9041,"Retain V333, Remove V331",Variance: V333(6.33e+07) >= V331(3.87e+07)
V333,V213,0.9833,"Retain V213, Remove V333",MI: V213(0.0000) > V333(0.0124)
V333,V307,0.9929,"Retain V307, Remove V333",MI: V307(0.0000) > V333(0.0033)
V333,V127,0.9938,"Retain V127, Remove V333",Missing: V127(86.05%) < V333(0.05%)
V333,V317,0.9904,"Retain V317, Remove V333",MI: V317(0.0000) > V333(0.0052)
V333,V133,0.9905,"Retain V133, Remove V333",MI: V133(0.0000) > V333(0.0037)
V333,V308,0.9975,"Retain V308, Remove V333",MI: V308(0.0000) > V333(0.0043)
V333,V128,0.9986,"Retain V128, Remove V333",MI: V128(0.0000) > V333(0.0047)
V333,V318,0.9982,"Retain V318, Remove V333",MI: V318(0.0000) > V333(0.0070)
V333,V134,0.9984,"Retain V134, Remove V333",MI: V134(0.0000) > V333(0.0062)
V333,V306,0.9022,"Retain V306, Remove V333",MI: V306(0.0000) > V333(0.0007)
V333,V126,0.9039,"Retain V126, Remove V333",MI: V126(0.0000) > V333(0.0057)
V333,V273,0.9009,"Retain V273, Remove V333",MI: V273(0.0000) > V333(0.0104)
V333,V338,0.9008,"Retain V333, Remove V338",Variance: V333(6.33e+07) >= V338(1.20e+06)
V212,V204,0.9867,"Retain V212, Remove V204",MI: V212(0.0132) > V204(0.0082)
V212,V213,0.9879,"Retain V212, Remove V213",MI: V212(0.0132) > V213(0.0124)
V212,V202,0.9068,"Retain V212, Remove V202",MI: V212(0.0132) > V202(0.0104)
V212,V307,0.9672,"Retain V212, Remove V307",MI: V212(0.0132) > V307(0.0033)
V212,V127,0.9676,"Retain V212, Remove V127",MI: V212(0.0132) > V127(0.0000)
V212,V211,0.9005,"Retain V212, Remove V211",MI: V212(0.0132) > V211(0.0085)
V212,V317,0.9698,"Retain V212, Remove V317",MI: V212(0.0132) > V317(0.0052)
V212,V133,0.9697,"Retain V212, Remove V133",MI: V212(0.0132) > V133(0.0037)
V212,V308,0.9565,"Retain V212, Remove V308",MI: V212(0.0132) > V308(0.0043)
V212,V128,0.9568,"Retain V212, Remove V128",MI: V212(0.0132) > V128(0.0047)
V212,V318,0.9617,"Retain V212, Remove V318",MI: V212(0.0132) > V318(0.0070)
V212,V134,0.9617,"Retain V212, Remove V134",MI: V212(0.0132) > V134(0.0062)
V212,V264,0.9169,"Retain V264, Remove V212",MI: V264(0.0132) > V212(0.0163)
V212,V265,0.9203,"Retain V212, Remove V265",MI: V212(0.0132) > V265(0.0127)
V212,V274,0.9821,"Retain V212, Remove V274",MI: V212(0.0132) > V274(0.0113)
V212,V275,0.9827,"Retain V212, Remove V275",MI: V212(0.0132) > V275(0.0111)
V212,V263,0.937,"Retain V263, Remove V212",MI: V263(0.0132) > V212(0.0181)
V212,V273,0.9818,"Retain V212, Remove V273",MI: V212(0.0132) > V273(0.0104)
V204,V213,0.9857,"Retain V213, Remove V204",MI: V213(0.0082) > V204(0.0124)
V204,V307,0.9579,"Retain V204, Remove V307",MI: V204(0.0082) > V307(0.0033)
V204,V127,0.9575,"Retain V204, Remove V127",MI: V204(0.0082) > V127(0.0000)
V204,V317,0.9543,"Retain V204, Remove V317",MI: V204(0.0082) > V317(0.0052)
V204,V133,0.9543,"Retain V204, Remove V133",MI: V204(0.0082) > V133(0.0037)
V204,V308,0.9586,"Retain V204, Remove V308",MI: V204(0.0082) > V308(0.0043)
V204,V128,0.958,"Retain V204, Remove V128",MI: V204(0.0082) > V128(0.0047)
V204,V318,0.9568,"Retain V204, Remove V318",MI: V204(0.0082) > V318(0.0070)
V204,V134,0.957,"Retain V204, Remove V134",MI: V204(0.0082) > V134(0.0062)
V204,V264,0.9785,"Retain V264, Remove V204",MI: V264(0.0082) > V204(0.0163)
V204,V265,0.9857,"Retain V265, Remove V204",MI: V265(0.0082) > V204(0.0127)
V204,V274,0.9343,"Retain V274, Remove V204",MI: V274(0.0082) > V204(0.0113)
V204,V275,0.936,"Retain V275, Remove V204",MI: V275(0.0082) > V204(0.0111)
V204,V263,0.9427,"Retain V263, Remove V204",MI: V263(0.0082) > V204(0.0181)
V204,V273,0.9107,"Retain V273, Remove V204",MI: V273(0.0082) > V204(0.0104)
V331,V164,0.9892,"Retain V164, Remove V331",MI: V164(0.0000) > V331(0.0051)
V331,V202,0.9887,"Retain V202, Remove V331",MI: V202(0.0000) > V331(0.0104)
V331,V307,0.9128,"Retain V307, Remove V331",MI: V307(0.0000) > V331(0.0033)
V331,V127,0.9137,"Retain V127, Remove V331",Missing: V127(86.05%) < V331(0.05%)
V331,V211,0.9904,"Retain V211, Remove V331",MI: V211(0.0000) > V331(0.0085)
V331,V317,0.9173,"Retain V317, Remove V331",MI: V317(0.0000) > V331(0.0052)
V331,V133,0.9176,"Retain V133, Remove V331",MI: V133(0.0000) > V331(0.0037)
V331,V308,0.9017,"Retain V308, Remove V331",MI: V308(0.0000) > V331(0.0043)
V331,V128,0.9027,"Retain V128, Remove V331",MI: V128(0.0000) > V331(0.0047)
V331,V318,0.9056,"Retain V318, Remove V331",MI: V318(0.0000) > V331(0.0070)
V331,V134,0.906,"Retain V134, Remove V331",MI: V134(0.0000) > V331(0.0062)
V331,V306,0.997,"Retain V306, Remove V331",MI: V306(0.0000) > V331(0.0007)
V331,V126,0.9993,"Retain V126, Remove V331",MI: V126(0.0000) > V331(0.0057)
V331,V316,0.9975,"Retain V316, Remove V331",Missing: V316(86.05%) < V331(0.00%)
V331,V132,0.9979,"Retain V132, Remove V331",MI: V132(0.0000) > V331(0.0023)
V164,V202,0.9805,"Retain V202, Remove V164",MI: V202(0.0051) > V164(0.0104)
V164,V307,0.9017,"Retain V164, Remove V307",MI: V164(0.0051) > V307(0.0033)
V164,V127,0.901,"Retain V164, Remove V127",MI: V164(0.0051) > V127(0.0000)
V164,V211,0.9844,"Retain V211, Remove V164",MI: V211(0.0051) > V164(0.0085)
V164,V317,0.9071,"Retain V317, Remove V164",MI: V317(0.0051) > V164(0.0052)
V164,V133,0.9066,"Retain V164, Remove V133",MI: V164(0.0051) > V133(0.0037)
V164,V306,0.9891,"Retain V164, Remove V306",MI: V164(0.0051) > V306(0.0007)
V164,V126,0.9875,"Retain V126, Remove V164",MI: V126(0.0051) > V164(0.0057)
V164,V316,0.9902,"Retain V164, Remove V316",MI: V164(0.0051) > V316(0.0000)
V164,V132,0.9892,"Retain V164, Remove V132",MI: V164(0.0051) > V132(0.0023)
V213,V202,0.9065,"Retain V213, Remove V202",MI: V213(0.0124) > V202(0.0104)
V213,V307,0.984,"Retain V213, Remove V307",MI: V213(0.0124) > V307(0.0033)
V213,V127,0.9843,"Retain V213, Remove V127",MI: V213(0.0124) > V127(0.0000)
V213,V211,0.9036,"Retain V213, Remove V211",MI: V213(0.0124) > V211(0.0085)
V213,V317,0.9847,"Retain V213, Remove V317",MI: V213(0.0124) > V317(0.0052)
