feature_1,feature_2,correlation,abs_correlation
V203,V204,0.942304,0.942304
V332,V333,0.934977,0.934977
V333,V331,0.914335,0.914335
V333,V204,0.888075,0.888075
V332,V331,0.854814,0.854814
V203,V333,0.850045,0.850045
V332,V203,0.844481,0.844481
V160,V159,0.833934,0.833934
V332,V204,0.828707,0.828707
V204,V331,0.816568,0.816568
V203,V331,0.779131,0.779131
V212,V204,0.706986,0.706986
V159,V165,0.681058,0.681058
V203,V212,0.679304,0.679304
V160,V165,0.670232,0.670232
V212,V331,0.593277,0.593277
V333,V212,0.561836,0.561836
V332,V212,0.529482,0.529482
V165,V212,0.516507,0.516507
V165,V204,0.305419,0.305419
V165,V331,0.304288,0.304288
V203,V165,0.285285,0.285285
V165,V333,0.27238,0.27238
V332,V165,0.240575,0.240575
id_02,V160,-0.237783,0.237783
V160,V332,0.207711,0.207711
V160,V333,0.178065,0.178065
V160,V203,0.174199,0.174199
id_02,V332,-0.161216,0.161216
V160,V204,0.154901,0.154901
id_02,V159,-0.148105,0.148105
id_02,V333,-0.135114,0.135114
id_02,V165,-0.12072,0.12072
V160,V212,0.120147,0.120147
V160,V331,0.111671,0.111671
id_02,V203,-0.107102,0.107102
id_02,V204,-0.098222,0.098222
V159,V331,0.097841,0.097841
id_02,V331,-0.081605,0.081605
V159,V333,0.066696,0.066696
id_02,V212,-0.062575,0.062575
V159,V212,0.055192,0.055192
V159,V204,0.046094,0.046094
V332,V159,0.044828,0.044828
V203,V159,0.033416,0.033416
