feature_1,feature_2,correlation,abs_correlation
V331,V126,0.999315,0.999315
V332,V127,0.998615,0.998615
V333,V128,0.998607,0.998607
V333,V134,0.998353,0.998353
V333,V318,0.998207,0.998207
V332,V307,0.998117,0.998117
V332,V133,0.998038,0.998038
V332,V317,0.997871,0.997871
V331,V132,0.997862,0.997862
V331,V316,0.997517,0.997517
V333,V308,0.997463,0.997463
V331,V306,0.997023,0.997023
V316,V132,0.996492,0.996492
V126,V132,0.996364,0.996364
V211,V273,0.996275,0.996275
V128,V134,0.995904,0.995904
V202,V211,0.995596,0.995596
V127,V133,0.995511,0.995511
V332,V318,0.995349,0.995349
V332,V134,0.995345,0.995345
V306,V316,0.995092,0.995092
V318,V134,0.995089,0.995089
V308,V318,0.994988,0.994988
V307,V317,0.994308,0.994308
V332,V333,0.99426,0.99426
V333,V127,0.993823,0.993823
V306,V126,0.993313,0.993313
V202,V263,0.993085,0.993085
V308,V128,0.99298,0.99298
V332,V128,0.99289,0.99289
V333,V307,0.992879,0.992879
V133,V134,0.992688,0.992688
V332,V308,0.992459,0.992459
V126,V316,0.992368,0.992368
V211,V316,0.991984,0.991984
V211,V132,0.99184,0.99184
V306,V132,0.991518,0.991518
V127,V128,0.991086,0.991086
V128,V318,0.990653,0.990653
V333,V133,0.990464,0.990464
V333,V317,0.990372,0.990372
V331,V211,0.990353,0.990353
V127,V134,0.990206,0.990206
V164,V316,0.990185,0.990185
V308,V134,0.990151,0.990151
V211,V126,0.989923,0.989923
V331,V164,0.989173,0.989173
V164,V132,0.989154,0.989154
V211,V306,0.989123,0.989123
V164,V306,0.989088,0.989088
V331,V202,0.98868,0.98868
V202,V306,0.988526,0.988526
V212,V213,0.987872,0.987872
V133,V318,0.987649,0.987649
V202,V126,0.987594,0.987594
V164,V126,0.987518,0.987518
V212,V204,0.986747,0.986747
V202,V132,0.986587,0.986587
V133,V128,0.986481,0.986481
V215,V277,0.986271,0.986271
V202,V316,0.986201,0.986201
V204,V265,0.985675,0.985675
V204,V213,0.985651,0.985651
V213,V318,0.985233,0.985233
V213,V134,0.985121,0.985121
V127,V318,0.984932,0.984932
V213,V317,0.98469,0.98469
V127,V308,0.984686,0.984686
V332,V213,0.984592,0.984592
V213,V133,0.984498,0.984498
V164,V211,0.984391,0.984391
V213,V127,0.984278,0.984278
V213,V307,0.983966,0.983966
V203,V264,0.983683,0.983683
V213,V275,0.983404,0.983404
V333,V213,0.983338,0.983338
V212,V275,0.982729,0.982729
V213,V273,0.982379,0.982379
V212,V274,0.98206,0.98206
V212,V273,0.981827,0.981827
V213,V128,0.981665,0.981665
V213,V274,0.981607,0.981607
V213,V308,0.981456,0.981456
V317,V318,0.981256,0.981256
V133,V308,0.981041,0.981041
V307,V308,0.980988,0.980988
V164,V202,0.980473,0.980473
V307,V318,0.9794,0.9794
V203,V265,0.978539,0.978539
V204,V264,0.97849,0.97849
V307,V127,0.976719,0.976719
V317,V133,0.976285,0.976285
V317,V308,0.974274,0.974274
V307,V133,0.973242,0.973242
V127,V317,0.971699,0.971699
V212,V317,0.969771,0.969771
V212,V133,0.969713,0.969713
V159,V150,0.969522,0.969522
V317,V134,0.969399,0.969399
V203,V212,0.968209,0.968209
V203,V204,0.968206,0.968206
V307,V128,0.968059,0.968059
V307,V134,0.968003,0.968003
V212,V127,0.967595,0.967595
V332,V212,0.967561,0.967561
V212,V307,0.967196,0.967196
V211,V275,0.966106,0.966106
V211,V274,0.964466,0.964466
V317,V128,0.963091,0.963091
V212,V134,0.961719,0.961719
V212,V318,0.961656,0.961656
V204,V308,0.958599,0.958599
V333,V204,0.958161,0.958161
V333,V212,0.958023,0.958023
V204,V128,0.957981,0.957981
V204,V307,0.957862,0.957862
V204,V127,0.957524,0.957524
V204,V134,0.956995,0.956995
V332,V204,0.95684,0.95684
V204,V318,0.956831,0.956831
V212,V128,0.956805,0.956805
V212,V308,0.956532,0.956532
V204,V133,0.954301,0.954301
V204,V317,0.954272,0.954272
V263,V273,0.953381,0.953381
V211,V263,0.951108,0.951108
V202,V273,0.946825,0.946825
V160,V150,0.946117,0.946117
V204,V263,0.942676,0.942676
V213,V263,0.937452,0.937452
V212,V263,0.937006,0.937006
V204,V275,0.93596,0.93596
V203,V263,0.934971,0.934971
V204,V274,0.934266,0.934266
V265,V275,0.931879,0.931879
V203,V213,0.93134,0.93134
V203,V275,0.930211,0.930211
V203,V274,0.929885,0.929885
V275,V273,0.926248,0.926248
V202,V265,0.921711,0.921711
V213,V265,0.920628,0.920628
V212,V265,0.920291,0.920291
V264,V274,0.919257,0.919257
V202,V275,0.917849,0.917849
V331,V133,0.917585,0.917585
V331,V317,0.917299,0.917299
V212,V264,0.916904,0.916904
V202,V274,0.91637,0.91637
V213,V264,0.915815,0.915815
V211,V317,0.915627,0.915627
V211,V133,0.915502,0.915502
V265,V274,0.915214,0.915214
V133,V132,0.914783,0.914783
V202,V264,0.914471,0.914471
V332,V331,0.914385,0.914385
V332,V126,0.914232,0.914232
V331,V127,0.913709,0.913709
V133,V126,0.913682,0.913682
V332,V306,0.913323,0.913323
V202,V133,0.913092,0.913092
V202,V317,0.912911,0.912911
V331,V307,0.912769,0.912769
V133,V316,0.911528,0.911528
V332,V132,0.911213,0.911213
V332,V316,0.911179,0.911179
V204,V273,0.910674,0.910674
V133,V306,0.909723,0.909723
V202,V307,0.909311,0.909311
V127,V211,0.909003,0.909003
V307,V211,0.9089,0.9089
V127,V126,0.908817,0.908817
V332,V211,0.908719,0.908719
V202,V127,0.90855,0.90855
V332,V202,0.908545,0.908545
V164,V317,0.907063,0.907063
V212,V202,0.906814,0.906814
V164,V133,0.906556,0.906556
V213,V202,0.906517,0.906517
V331,V134,0.905981,0.905981
V203,V273,0.905938,0.905938
V331,V318,0.90563,0.90563
V127,V132,0.905418,0.905418
V134,V126,0.904923,0.904923
V207,V267,0.90461,0.90461
V134,V132,0.90419,0.90419
V333,V331,0.904127,0.904127
V333,V126,0.903921,0.903921
V127,V306,0.903774,0.903774
V213,V211,0.903589,0.903589
V128,V126,0.903289,0.903289
V318,V316,0.902704,0.902704
V331,V128,0.902694,0.902694
V318,V306,0.902367,0.902367
V333,V306,0.902187,0.902187
V308,V306,0.902181,0.902181
V127,V316,0.901835,0.901835
V331,V308,0.901742,0.901742
V164,V307,0.901654,0.901654
V332,V164,0.90157,0.90157
V134,V316,0.901111,0.901111
V164,V127,0.901021,0.901021
V333,V273,0.900899,0.900899
V333,V338,0.900795,0.900795
V134,V306,0.900779,0.900779
V212,V211,0.900517,0.900517
V318,V126,0.899758,0.899758
V318,V132,0.899424,0.899424
V333,V132,0.898811,0.898811
V333,V316,0.898525,0.898525
V211,V318,0.898456,0.898456
V211,V134,0.898438,0.898438
V128,V306,0.897735,0.897735
V202,V134,0.897606,0.897606
V331,V273,0.897506,0.897506
V202,V318,0.897233,0.897233
V213,V126,0.897145,0.897145
V331,V213,0.897105,0.897105
V128,V338,0.896991,0.896991
V317,V316,0.896962,0.896962
V128,V132,0.896897,0.896897
V308,V126,0.896868,0.896868
V213,V306,0.896321,0.896321
V317,V273,0.89602,0.89602
V318,V273,0.895978,0.895978
V274,V275,0.895516,0.895516
V317,V306,0.895127,0.895127
V308,V316,0.895082,0.895082
V213,V316,0.894944,0.894944
V213,V132,0.894934,0.894934
V202,V308,0.894783,0.894783
V333,V202,0.894571,0.894571
V211,V265,0.894481,0.894481
V134,V273,0.893804,0.893804
V164,V318,0.893796,0.893796
V202,V128,0.893437,0.893437
V128,V316,0.893429,0.893429
V316,V273,0.893409,0.893409
V275,V263,0.89314,0.89314
V164,V134,0.893124,0.893124
V307,V306,0.892981,0.892981
V317,V132,0.892894,0.892894
V333,V211,0.892682,0.892682
V308,V338,0.892474,0.892474
V133,V273,0.892278,0.892278
