feature_1,feature_2,correlation,abs_correlation
V212,V213,0.97569,0.97569
V275,V273,0.965886,0.965886
V213,V211,0.963151,0.963151
V274,V275,0.958801,0.958801
V165,V164,0.95318,0.95318
V203,V204,0.949003,0.949003
V332,V333,0.945764,0.945764
V212,V211,0.939162,0.939162
V264,V265,0.932218,0.932218
V204,V202,0.930186,0.930186
V265,V263,0.927664,0.927664
V274,V273,0.925703,0.925703
V331,V126,0.915654,0.915654
V333,V331,0.911296,0.911296
V333,V128,0.905608,0.905608
V202,V263,0.902723,0.902723
V211,V273,0.90257,0.90257
V332,V127,0.895073,0.895073
V134,V132,0.886807,0.886807
V213,V275,0.885129,0.885129
V318,V316,0.882165,0.882165
V213,V273,0.876363,0.876363
V203,V202,0.875535,0.875535
V211,V275,0.87414,0.87414
V215,V277,0.873946,0.873946
V160,V159,0.873413,0.873413
V333,V127,0.866717,0.866717
V331,V202,0.86583,0.86583
V212,V275,0.863922,0.863922
V264,V263,0.860339,0.860339
V204,V265,0.859991,0.859991
V332,V128,0.857674,0.857674
V212,V273,0.855359,0.855359
V332,V331,0.853014,0.853014
V213,V274,0.852774,0.852774
V133,V134,0.851436,0.851436
V212,V274,0.850483,0.850483
V317,V318,0.848725,0.848725
V331,V263,0.844158,0.844158
V215,V338,0.840764,0.840764
V331,V306,0.840323,0.840323
V211,V274,0.839048,0.839048
V202,V265,0.839029,0.839029
V204,V263,0.838609,0.838609
V331,V128,0.836738,0.836738
V333,V308,0.835733,0.835733
V333,V204,0.834744,0.834744
V333,V126,0.834407,0.834407
V332,V307,0.828574,0.828574
V338,V277,0.825372,0.825372
V332,V203,0.817452,0.817452
V203,V333,0.810828,0.810828
V203,V265,0.807548,0.807548
V204,V331,0.805742,0.805742
V204,V264,0.80524,0.80524
V203,V264,0.804264,0.804264
V333,V265,0.795543,0.795543
V333,V307,0.794447,0.794447
V159,V150,0.792676,0.792676
V331,V127,0.792657,0.792657
V332,V308,0.788981,0.788981
V332,V204,0.788273,0.788273
V333,V202,0.786636,0.786636
V203,V263,0.783845,0.783845
V332,V126,0.781613,0.781613
V202,V264,0.778681,0.778681
V331,V265,0.769367,0.769367
V332,V264,0.767931,0.767931
V203,V331,0.766779,0.766779
V333,V306,0.765698,0.765698
V308,V128,0.765654,0.765654
V331,V308,0.761773,0.761773
V333,V264,0.75973,0.75973
V306,V126,0.755362,0.755362
V133,V132,0.753377,0.753377
V333,V263,0.752937,0.752937
V165,V150,0.75226,0.75226
V159,V165,0.752245,0.752245
V307,V127,0.75146,0.75146
V317,V316,0.746506,0.746506
V127,V128,0.741919,0.741919
V332,V265,0.737213,0.737213
V332,V202,0.736584,0.736584
V128,V126,0.729525,0.729525
V202,V306,0.729123,0.729123
V317,V133,0.725879,0.725879
V307,V308,0.724964,0.724964
V308,V306,0.723627,0.723627
V318,V134,0.723523,0.723523
V160,V150,0.720714,0.720714
V166,V150,0.719172,0.719172
V331,V264,0.717564,0.717564
V316,V132,0.716431,0.716431
V332,V306,0.714806,0.714806
V331,V338,0.714418,0.714418
V202,V211,0.710099,0.710099
V306,V263,0.710035,0.710035
V331,V307,0.709831,0.709831
V164,V150,0.709361,0.709361
V213,V318,0.709255,0.709255
V211,V316,0.709195,0.709195
V159,V164,0.707957,0.707957
V160,V165,0.705591,0.705591
V263,V273,0.703872,0.703872
V126,V338,0.701401,0.701401
V159,V166,0.700149,0.700149
V316,V273,0.698352,0.698352
V212,V317,0.69834,0.69834
V213,V202,0.695457,0.695457
V204,V308,0.695059,0.695059
V333,V338,0.694459,0.694459
V332,V263,0.693629,0.693629
V204,V213,0.692917,0.692917
V212,V318,0.692823,0.692823
V213,V317,0.69153,0.69153
V212,V204,0.685862,0.685862
V203,V307,0.683957,0.683957
V213,V316,0.683519,0.683519
V265,V275,0.682233,0.682233
V275,V263,0.681299,0.681299
V212,V202,0.681054,0.681054
V318,V275,0.680553,0.680553
V211,V318,0.679618,0.679618
V165,V166,0.677618,0.677618
V332,V338,0.676868,0.676868
V204,V306,0.67455,0.67455
V203,V212,0.674372,0.674372
V316,V275,0.67237,0.67237
V128,V338,0.669511,0.669511
V318,V273,0.668366,0.668366
V264,V274,0.665871,0.665871
V204,V211,0.665295,0.665295
V317,V275,0.664631,0.664631
V212,V316,0.664621,0.664621
V202,V126,0.66395,0.66395
V211,V317,0.663918,0.663918
V265,V274,0.663917,0.663917
