feature_name,pearson_correlation,spearman_correlation,point_biserial_correlation,mutual_information
V258,0.26778,0.382267,0.26778,0.031566
V244,0.369895,0.428848,0.369895,0.025171
V243,0.16223,0.389142,0.16223,0.025101
V257,0.36645,0.399879,0.36645,0.02486
V246,0.323631,0.411091,0.323631,0.024676
V200,0.292533,0.261493,0.292533,0.023917
C4,0.062884,0.159833,0.062884,0.02155
V222,0.25744,0.090436,0.25744,0.019803
V199,0.235009,0.339985,0.235009,0.019033
V259,0.250267,0.089673,0.250267,0.018976
V187,0.031661,0.381894,0.031661,0.018963
V242,0.364782,0.410923,0.364782,0.018962
V263,0.02131,0.269766,0.02131,0.018059
V86,0.259789,0.17919,0.259789,0.018019
C8,0.069551,0.153882,0.069551,0.017871
V218,0.045768,0.270562,0.045768,0.017737
V45,0.288723,0.194863,0.288723,0.017703
V170,0.245756,0.191253,0.245756,0.017701
V188,0.320097,0.225496,0.320097,0.017593
V189,0.317597,0.244104,0.317597,0.017376
V84,0.159196,0.15673,0.159196,0.017091
id_17,0.131819,0.134584,0.131819,0.016975
V178,-0.013104,0.251093,-0.013104,0.016815
V179,-0.012773,0.243499,-0.012773,0.016566
V230,0.19092,0.273315,0.19092,0.016311
V264,0.008236,0.267508,0.008236,0.016251
V87,0.265665,0.169032,0.265665,0.016141
V40,0.227313,0.178894,0.227313,0.016037
V192,0.025845,0.215369,0.025845,0.016012
V233,0.049167,0.316908,0.049167,0.015863
id_19,-0.01811,-0.015062,-0.01811,0.015641
V201,0.301387,0.267527,0.301387,0.015498
V176,0.15431,0.205309,0.15431,0.015476
V235,0.062267,0.11794,0.062267,0.01546
V168,-0.01254,0.207916,-0.01254,0.015326
V183,0.005183,0.094302,0.005183,0.015259
V49,-0.105714,-0.112404,-0.105714,0.015246
V96,-0.004804,0.033578,-0.004804,0.014952
V232,0.054945,0.320791,0.054945,0.014847
C7,0.067502,0.158131,0.067502,0.014838
V190,0.207052,0.344756,0.207052,0.014775
V217,0.045957,0.2749,0.045957,0.014732
V304,0.123745,0.132017,0.123745,0.014685
V219,0.045484,0.272131,0.045484,0.014618
V229,0.10925,0.275092,0.10925,0.014541
V39,0.219678,0.178028,0.219678,0.014454
card3,0.139264,0.142116,0.139264,0.014148
V171,0.226396,0.185375,0.226396,0.014131
V248,0.053968,0.227692,0.053968,0.014069
V198,0.132491,0.105792,0.132491,0.014066
V186,0.153101,0.354229,0.153101,0.013956
