DeviceInfo,count,fraud_count,percentage,fraud_rate,relative_risk
Missing,471874,12056,79.9055,2.5549,0.7302
Windows,47722,3121,8.0811,6.54,1.8691
iOS Device,19782,1240,3.3498,6.2683,1.7915
MacOS,12573,278,2.1291,2.2111,0.6319
Trident/7.0,7440,96,1.2599,1.2903,0.3688
rv:11.0,1901,76,0.3219,3.9979,1.1426
rv:57.0,962,103,0.1629,10.7069,3.06
SM-J700M Build/MMB29K,549,60,0.093,10.929,3.1235
SM-G610M Build/MMB29K,461,37,0.0781,8.026,2.2938
SM-G531H Build/LMY48B,410,33,0.0694,8.0488,2.3003
rv:59.0,362,44,0.0613,12.1547,3.4738
SM-G935F Build/NRD90M,334,31,0.0566,9.2814,2.6526
SM-G955U Build/NRD90M,328,33,0.0555,10.061,2.8754
SM-G532M Build/MMB29T,316,12,0.0535,3.7975,1.0853
ALE-L23 Build/HuaweiALE-L23,312,29,0.0528,9.2949,2.6564
SM-G950U Build/NRD90M,290,16,0.0491,5.5172,1.5768
SM-G930V Build/NRD90M,274,0,0.0464,0.0,0.0
rv:58.0,269,49,0.0456,18.2156,5.2059
rv:52.0,256,12,0.0434,4.6875,1.3397
SAMSUNG,235,5,0.0398,2.1277,0.6081
SM-G950F Build/NRD90M,225,34,0.0381,15.1111,4.3187
Moto G (4) Build/NPJ25.93-14.7,219,40,0.0371,18.2648,5.22
SM-N950U Build/NMF26X,209,13,0.0354,6.2201,1.7777
SM-A300H Build/LRX22G,203,169,0.0344,83.2512,23.7928
hi6210sft Build/MRA58K,190,180,0.0322,94.7368,27.0754
SM-J730GM Build/NRD90M,184,27,0.0312,14.6739,4.1937
SM-G570M Build/MMB29K,182,3,0.0308,1.6484,0.4711
rv:48.0,178,2,0.0301,1.1236,0.3211
CAM-L03 Build/HUAWEICAM-L03,172,22,0.0291,12.7907,3.6555
SM-J320M Build/LMY47V,171,57,0.029,33.3333,9.5265
LG-M700 Build/NMF26X,169,29,0.0286,17.1598,4.9042
Moto E (4) Plus Build/NMA26.42-69,160,32,0.0271,20.0,5.7159
SM-J510MN Build/MMB29M,157,16,0.0266,10.1911,2.9126
SM-J701M Build/NRD90M,154,30,0.0261,19.4805,5.5674
LG-D693n Build/LRX22G,150,0,0.0254,0.0,0.0
Moto G (4) Build/NPJS25.93-14-13,147,13,0.0249,8.8435,2.5274
SM-G930F Build/NRD90M,144,4,0.0244,2.7778,0.7939
SM-A520F Build/NRD90M,144,0,0.0244,0.0,0.0
SM-G935V Build/NRD90M,137,0,0.0232,0.0,0.0
LG-K410 Build/LRX22G,136,4,0.023,2.9412,0.8406
PRA-LX3 Build/HUAWEIPRA-LX3,135,2,0.0229,1.4815,0.4234
SM-G955F Build/NRD90M,134,26,0.0227,19.403,5.5453
Moto G (5) Plus Build/NPN25.137-92,130,11,0.022,8.4615,2.4183
Moto Z2 Play Build/NPSS26.118-19-14,129,30,0.0218,23.2558,6.6464
Moto G Play Build/MPIS24.241-15.3-7,129,17,0.0218,13.1783,3.7663
Moto E (4) Build/NMA26.42-69,125,23,0.0212,18.4,5.2586
TRT-L53 Build/HUAWEITRT-L53,122,17,0.0207,13.9344,3.9824
SM-A720F Build/NRD90M,120,22,0.0203,18.3333,5.2396
LG-K580 Build/MRA58K,117,17,0.0198,14.5299,4.1526
SAMSUNG SM-J700M Build/MMB29K,113,12,0.0191,10.6195,3.035
HUAWEI VNS-L53 Build/HUAWEIVNS-L53,113,5,0.0191,4.4248,1.2646
HUAWEI TAG-L13 Build/HUAWEITAG-L13,113,13,0.0191,11.5044,3.2879
Moto X Play Build/NPD26.48-24-1,112,3,0.019,2.6786,0.7655
