feature,family,mean,std,skewness,outlier_pct,fraud_rate_present,fraud_rate_missing
id_01,Numerical,-10.1705,14.3428,-3.6697,17.6659,7.847,2.0939
id_02,Numerical,174716.5938,159650.0,1.8388,6.2255,7.9661,2.0995
id_03,Numerical,0.0602,0.5983,-0.7823,3.6503,10.7231,2.585
id_04,Numerical,-0.0589,0.7012,-14.2898,0.882,10.7231,2.585
id_05,Numerical,1.6156,5.2476,2.4495,22.143,8.024,2.1339
id_06,Numerical,-6.6987,16.482,-3.9036,13.5075,8.024,2.1339
id_07,Numerical,13.2854,11.3842,-0.1606,0.7953,8.2638,3.457
id_08,Numerical,-38.6004,26.085,-1.0161,10.1455,8.2638,3.457
id_09,Numerical,0.091,0.9836,-4.8028,6.07,10.4463,2.4895
id_10,Numerical,-0.3011,2.7894,-19.4824,2.732,10.4463,2.4895
id_11,Numerical,99.7453,1.1268,-4.8251,5.5441,7.9573,2.1009
id_12,Categorical,,,,,7.847,2.0939
id_13,Categorical,,,,,8.3161,2.175
id_14,Categorical,,,,,4.4713,3.3465
id_15,Categorical,,,,,7.9597,2.1001
id_16,Categorical,,,,,7.8491,2.2791
id_17,Categorical,,,,,7.9257,2.1316
id_18,Categorical,,,,,8.2792,3.1036
id_19,Categorical,,,,,7.9229,2.1331
id_20,Categorical,,,,,7.9211,2.1344
id_21,Categorical,,,,,8.2574,3.4571
id_22,Categorical,,,,,8.2414,3.4571
id_23,Categorical,,,,,8.2414,3.4571
id_24,Categorical,,,,,8.4685,3.4587
id_25,Categorical,,,,,8.1255,3.4584
id_26,Categorical,,,,,8.2316,3.4573
id_27,Categorical,,,,,8.2414,3.4571
id_28,Categorical,,,,,7.9573,2.1009
id_29,Categorical,,,,,7.9573,2.1009
id_30,Categorical,,,,,4.4376,3.3571
id_31,Categorical,,,,,7.9632,2.1081
id_32,Categorical,,,,,4.448,3.3555
id_33,Categorical,,,,,4.5887,3.3446
id_34,Categorical,,,,,4.4791,3.3503
id_35,Categorical,,,,,7.9597,2.1001
id_36,Categorical,,,,,7.9597,2.1001
id_37,Categorical,,,,,7.9597,2.1001
id_38,Categorical,,,,,7.9597,2.1001
