feature,data_type,missing_pct,cardinality,feature_family,availability
id_01,float32,75.5761,77,Numerical,Present
id_02,float32,76.1452,115655,Numerical,Present
id_03,float32,88.7689,24,Numerical,Present
id_04,float32,88.7689,15,Numerical,Present
id_05,float32,76.8238,93,Numerical,Present
id_06,float32,76.8238,101,Numerical,Present
id_07,float32,99.1271,84,Numerical,Present
id_08,float32,99.1271,94,Numerical,Present
id_09,float32,87.3123,46,Numerical,Present
id_10,float32,87.3123,62,Numerical,Present
id_11,float32,76.1273,365,Numerical,Present
id_12,category,75.5761,2,Categorical,Present
id_13,float32,78.4401,54,Categorical,Present
id_14,float32,86.4456,25,Categorical,Present
id_15,category,76.1261,3,Categorical,Present
id_16,category,78.098,2,Categorical,Present
id_17,float32,76.3997,104,Categorical,Present
id_18,float32,92.3607,18,Categorical,Present
id_19,float32,76.4084,522,Categorical,Present
id_20,float32,76.418,394,Categorical,Present
id_21,float32,99.1264,490,Categorical,Present
id_22,float32,99.1247,25,Categorical,Present
id_23,category,99.1247,3,Categorical,Present
id_24,float32,99.1962,12,Categorical,Present
id_25,float32,99.131,341,Categorical,Present
id_26,float32,99.1257,95,Categorical,Present
id_27,category,99.1247,2,Categorical,Present
id_28,category,76.1273,2,Categorical,Present
id_29,category,76.1273,2,Categorical,Present
id_30,category,86.8654,75,Categorical,Present
id_31,category,76.2451,130,Categorical,Present
id_32,float32,86.8619,4,Categorical,Present
id_33,category,87.5895,260,Categorical,Present
id_34,category,86.8248,4,Categorical,Present
id_35,category,76.1261,2,Categorical,Present
id_36,category,76.1261,2,Categorical,Present
id_37,category,76.1261,2,Categorical,Present
id_38,category,76.1261,2,Categorical,Present
DeviceType,category,76.1557,2,Device,Present
DeviceInfo,category,79.9055,1786,Device,Present
