interaction,DeviceType,browser_family,transaction_count,fraud_count,fraud_rate,relative_risk,os_family
browser_family×os_family,,Other,451962,9659,2.1371,0.6108,Other
DeviceType×os_family,Unknown,,449730,9452,2.1017,0.6007,Other
DeviceType×browser_family,Unknown,Other,449680,9446,2.1006,0.6003,
DeviceType×browser_family,desktop,Chrome,52385,4217,8.05,2.3007,
browser_family×os_family,,Chrome,43551,5869,13.4762,3.8514,Other
DeviceType×os_family,desktop,,36722,1268,3.453,0.9869,Windows
DeviceType×os_family,desktop,,33753,3907,11.5753,3.3082,Other
DeviceType×os_family,mobile,,29517,3871,13.1145,3.7481,Other
DeviceType×browser_family,mobile,Safari,28368,2140,7.5437,2.156,
DeviceType×browser_family,mobile,Chrome,23667,3076,12.997,3.7145,
browser_family×os_family,,Chrome,20664,835,4.0408,1.1548,Windows
DeviceType×os_family,mobile,,19781,1240,6.2686,1.7915,iOS
browser_family×os_family,,Safari,19327,1217,6.2969,1.7996,iOS
DeviceType×os_family,desktop,,13572,298,2.1957,0.6275,macOS
browser_family×os_family,,Safari,10598,977,9.2187,2.6347,Other
DeviceType×browser_family,desktop,IE,9689,185,1.9094,0.5457,
DeviceType×browser_family,desktop,Safari,8913,244,2.7376,0.7824,
browser_family×os_family,,Safari,7355,190,2.5833,0.7383,macOS
browser_family×os_family,,IE,7104,82,1.1543,0.3299,Windows
DeviceType×browser_family,desktop,Firefox,6894,505,7.3252,2.0935,
DeviceType×browser_family,desktop,Edge,6376,215,3.372,0.9637,
DeviceType×os_family,mobile,,6302,542,8.6004,2.458,Android
browser_family×os_family,,Edge,5410,118,2.1811,0.6233,Windows
browser_family×os_family,,Chrome,5277,414,7.8454,2.2422,Android
browser_family×os_family,,Chrome,5205,88,1.6907,0.4832,macOS
browser_family×os_family,,Firefox,3276,212,6.4713,1.8495,Windows
DeviceType×browser_family,mobile,Other,3156,310,9.8226,2.8073,
browser_family×os_family,,IE,2866,168,5.8618,1.6753,Other
browser_family×os_family,,Firefox,2660,317,11.9173,3.4059,Other
DeviceType×os_family,desktop,,1116,81,7.2581,2.0743,Linux
browser_family×os_family,,Chrome,1055,78,7.3934,2.113,Linux
browser_family×os_family,,Firefox,1004,20,1.992,0.5693,macOS
browser_family×os_family,,Edge,991,107,10.7972,3.0858,Other
browser_family×os_family,,Other,956,122,12.7615,3.6472,Android
DeviceType×browser_family,desktop,Other,479,50,10.4384,2.9833,
DeviceType×browser_family,desktop,Opera,429,138,32.1678,9.1934,
browser_family×os_family,,Opera,372,133,35.7527,10.218,Other
browser_family×os_family,,Chrome,307,14,4.5603,1.3033,iOS
DeviceType×browser_family,mobile,IE,286,69,24.1259,6.8951,
browser_family×os_family,,Other,217,12,5.53,1.5805,Windows
browser_family×os_family,,Other,144,6,4.1667,1.1908,iOS
DeviceType×browser_family,mobile,Firefox,123,48,39.0244,11.153,
browser_family×os_family,,Opera,67,9,13.4328,3.839,Windows
browser_family×os_family,,Firefox,54,0,0.0,0.0,Linux
browser_family×os_family,,IE,48,5,10.4167,2.977,Android
DeviceType×browser_family,Unknown,IE,43,1,2.3256,0.6646,
browser_family×os_family,,Other,27,7,25.9259,7.4095,Linux
DeviceType×browser_family,mobile,Edge,25,10,40.0,11.4318,
DeviceType×os_family,mobile,,20,4,20.0,5.7159,Linux
DeviceType×browser_family,mobile,Opera,20,4,20.0,5.7159,
browser_family×os_family,,Firefox,19,1,5.2632,1.5042,Android
DeviceType×os_family,mobile,,17,0,0.0,0.0,Windows
browser_family×os_family,,Other,9,0,0.0,0.0,macOS
DeviceType×os_family,mobile,,8,0,0.0,0.0,macOS
browser_family×os_family,,Opera,7,0,0.0,0.0,macOS
DeviceType×browser_family,Unknown,Chrome,7,5,71.4286,20.414,
browser_family×os_family,,Firefox,4,3,75.0,21.4347,iOS
browser_family×os_family,,Opera,3,0,0.0,0.0,Android
browser_family×os_family,,Safari,1,0,0.0,0.0,Windows
DeviceType×os_family,desktop,,1,0,0.0,0.0,Android
DeviceType×os_family,desktop,,1,0,0.0,0.0,iOS
