feature,missing_pct,fraud_rate_present,fraud_rate_missing,missingness_relative_risk
id_01,75.5761,7.847,2.0939,0.2668
id_02,76.1452,7.9661,2.0995,0.2636
id_03,88.7689,10.7231,2.585,0.2411
id_04,88.7689,10.7231,2.585,0.2411
id_05,76.8238,8.024,2.1339,0.2659
id_06,76.8238,8.024,2.1339,0.2659
id_07,99.1271,8.2638,3.457,0.4183
id_08,99.1271,8.2638,3.457,0.4183
id_09,87.3123,10.4463,2.4895,0.2383
id_10,87.3123,10.4463,2.4895,0.2383
id_11,76.1273,7.9573,2.1009,0.264
id_12,75.5761,7.847,2.0939,0.2668
id_13,78.4401,8.3161,2.175,0.2615
id_14,86.4456,4.4713,3.3465,0.7485
id_15,76.1261,7.9597,2.1001,0.2638
id_16,78.098,7.8491,2.2791,0.2904
id_17,76.3997,7.9257,2.1316,0.2689
id_18,92.3607,8.2792,3.1036,0.3749
id_19,76.4084,7.9229,2.1331,0.2692
id_20,76.418,7.9211,2.1344,0.2695
id_21,99.1264,8.2574,3.4571,0.4187
id_22,99.1247,8.2414,3.4571,0.4195
id_23,99.1247,8.2414,3.4571,0.4195
id_24,99.1962,8.4685,3.4587,0.4084
id_25,99.131,8.1255,3.4584,0.4256
id_26,99.1257,8.2316,3.4573,0.42
id_27,99.1247,8.2414,3.4571,0.4195
id_28,76.1273,7.9573,2.1009,0.264
id_29,76.1273,7.9573,2.1009,0.264
id_30,86.8654,4.4376,3.3571,0.7565
id_31,76.2451,7.9632,2.1081,0.2647
id_32,86.8619,4.448,3.3555,0.7544
id_33,87.5895,4.5887,3.3446,0.7289
id_34,86.8248,4.4791,3.3503,0.748
id_35,76.1261,7.9597,2.1001,0.2638
id_36,76.1261,7.9597,2.1001,0.2638
id_37,76.1261,7.9597,2.1001,0.2638
id_38,76.1261,7.9597,2.1001,0.2638
DeviceType,76.1557,7.9618,2.1017,0.264
DeviceInfo,79.9055,7.2531,2.5549,0.3523
