DeviceType,browser_family,os_family,transaction_count,fraud_count,fraud_rate,risk_label
Unknown,Other,Other,449680,9446,2.1006,Moderate
desktop,Chrome,Other,25460,3216,12.6316,High
desktop,Chrome,Windows,20664,835,4.0408,Moderate
mobile,Safari,iOS,19327,1217,6.2969,High
mobile,Chrome,Other,18084,2648,14.6428,High
mobile,Safari,Other,9041,923,10.209,High
desktop,Safari,macOS,7355,190,2.5833,Moderate
desktop,IE,Windows,7103,82,1.1544,Moderate
desktop,Edge,Windows,5408,118,2.182,Moderate
mobile,Chrome,Android,5276,414,7.8469,High
desktop,Chrome,macOS,5205,88,1.6907,Moderate
desktop,Firefox,Windows,3276,212,6.4713,High
desktop,IE,Other,2586,103,3.983,Moderate
desktop,Firefox,Other,2560,273,10.6641,High
mobile,Other,Other,2015,178,8.8337,High
desktop,Safari,Other,1557,54,3.4682,Moderate
desktop,Chrome,Linux,1055,78,7.3934,High
desktop,Firefox,macOS,1004,20,1.992,Moderate
desktop,Edge,Other,968,97,10.0207,High
mobile,Other,Android,956,122,12.7615,High
desktop,Opera,Other,355,129,36.338,Critical
mobile,Chrome,iOS,307,14,4.5603,Moderate
desktop,Other,Other,267,35,13.1086,High
mobile,IE,Other,237,64,27.0042,Critical
desktop,Other,Windows,203,12,5.9113,High
mobile,Other,iOS,143,6,4.1958,Moderate
mobile,Firefox,Other,100,44,44.0,Critical
desktop,Opera,Windows,67,9,13.4328,High
desktop,Firefox,Linux,54,0,0.0,Low
mobile,IE,Android,48,5,10.4167,High
Unknown,IE,Other,43,1,2.3256,Moderate
mobile,Edge,Other,23,10,43.4783,Critical
mobile,Other,Linux,20,4,20.0,Critical
mobile,Firefox,Android,19,1,5.2632,High
mobile,Opera,Other,17,4,23.5294,Critical
mobile,Other,Windows,14,0,0.0,Low
mobile,Other,macOS,8,0,0.0,Low
desktop,Other,Linux,7,3,42.8571,Critical
desktop,Opera,macOS,7,0,0.0,Low
Unknown,Chrome,Other,7,5,71.4286,Critical
mobile,Firefox,iOS,4,3,75.0,Critical
mobile,Opera,Android,3,0,0.0,Low
mobile,Edge,Windows,2,0,0.0,Low
desktop,Safari,Windows,1,0,0.0,Low
mobile,IE,Windows,1,0,0.0,Low
desktop,Other,macOS,1,0,0.0,Low
desktop,Other,iOS,1,0,0.0,Low
desktop,Chrome,Android,1,0,0.0,Low
