dt_day,transaction_count,total_amount,fraud_count,percentage,average_amount,fraud_rate,relative_risk
1,5122,742186.94,112,0.8673,144.9018,2.1866,0.6249
2,3730,453400.0,123,0.6316,121.555,3.2976,0.9424
3,3241,348517.44,92,0.5488,107.5339,2.8386,0.8113
4,4036,515969.0,115,0.6834,127.8417,2.8494,0.8143
5,3964,543140.6,127,0.6713,137.0183,3.2038,0.9156
6,3717,476860.62,99,0.6294,128.2918,2.6634,0.7612
7,3786,534372.06,136,0.6411,141.1442,3.5922,1.0266
8,3999,546577.8,93,0.6772,136.6786,2.3256,0.6646
9,3907,456672.97,119,0.6616,116.8858,3.0458,0.8705
10,3445,355377.38,90,0.5834,103.1574,2.6125,0.7466
11,4319,579746.5,123,0.7314,134.2317,2.8479,0.8139
12,4164,518737.72,84,0.7051,124.5768,2.0173,0.5765
13,4183,559196.2,82,0.7083,133.683,1.9603,0.5602
14,4446,605741.6,126,0.7529,136.2442,2.834,0.8099
15,5034,697884.6,143,0.8524,138.6342,2.8407,0.8119
16,4325,503903.0,70,0.7324,116.5094,1.6185,0.4626
17,3805,402041.03,126,0.6443,105.6612,3.3114,0.9464
18,5585,749349.6,161,0.9457,134.1718,2.8827,0.8239
19,5526,775397.4,118,0.9358,140.318,2.1354,0.6103
20,5749,795644.6,135,0.9735,138.397,2.3482,0.6711
21,5677,801712.8,116,0.9613,141.2212,2.0433,0.584
22,6852,967887.44,147,1.1603,141.2562,2.1454,0.6131
23,5872,675913.8,106,0.9943,115.1079,1.8052,0.5159
24,6065,636713.75,76,1.027,104.9817,1.2531,0.3581
25,5742,526717.2,63,0.9723,91.7306,1.0972,0.3136
26,3458,427651.4,82,0.5856,123.6702,2.3713,0.6777
27,3585,459705.6,100,0.6071,128.2303,2.7894,0.7972
28,3332,470140.25,150,0.5642,141.0985,4.5018,1.2866
29,4302,629702.0,129,0.7285,146.3742,2.9986,0.857
30,3371,476106.84,158,0.5708,141.2361,4.687,1.3395
31,2982,339913.06,149,0.505,113.9883,4.9966,1.428
32,2387,257564.75,51,0.4042,107.9031,2.1366,0.6106
33,3403,453374.53,123,0.5763,133.2279,3.6145,1.033
34,4264,585444.25,159,0.7221,137.2993,3.7289,1.0657
35,3830,504431.28,120,0.6486,131.7053,3.1332,0.8955
36,3571,498308.06,135,0.6047,139.543,3.7805,1.0805
37,3030,380208.1,126,0.5131,125.4812,4.1584,1.1885
38,2544,262467.16,110,0.4308,103.1711,4.3239,1.2358
39,3017,410133.53,117,0.5109,135.9408,3.878,1.1083
40,2914,436539.25,109,0.4934,149.8076,3.7406,1.069
41,2962,464350.06,121,0.5016,156.7691,4.0851,1.1675
42,2881,430964.12,85,0.4879,149.5884,2.9504,0.8432
43,3606,553048.7,160,0.6106,153.369,4.437,1.2681
44,2786,343487.97,119,0.4718,123.2907,4.2714,1.2207
45,2300,247228.03,100,0.3895,107.4904,4.3478,1.2426
46,2786,350759.56,117,0.4718,125.9008,4.1996,1.2002
47,2971,409783.0,91,0.5031,137.9276,3.0629,0.8754
48,3062,434648.78,115,0.5185,141.9493,3.7557,1.0734
49,3053,429248.44,121,0.517,140.5989,3.9633,1.1327
50,3336,489133.47,175,0.5649,146.6227,5.2458,1.4992
51,2826,336122.88,148,0.4785,118.9394,5.2371,1.4967
52,2333,236248.73,114,0.3951,101.2639,4.8864,1.3965
53,2908,428976.16,79,0.4924,147.5159,2.7166,0.7764
54,2798,385736.62,112,0.4738,137.8616,4.0029,1.144
55,2771,388438.12,76,0.4692,140.1798,2.7427,0.7839
56,2789,387303.38,158,0.4723,138.8682,5.6651,1.6191
57,3274,491908.8,109,0.5544,150.247,3.3293,0.9515
58,2681,334908.53,102,0.454,124.9193,3.8046,1.0873
59,2402,243780.4,168,0.4067,101.4906,6.9942,1.9989
60,2932,422733.34,108,0.4965,144.1792,3.6835,1.0527
61,3111,454577.84,112,0.5268,146.1195,3.6001,1.0289
62,3057,529838.1,165,0.5177,173.3196,5.3974,1.5426
63,3975,560621.2,163,0.6731,141.0368,4.1006,1.1719
64,4317,614500.44,234,0.731,142.3443,5.4204,1.5491
65,3209,397885.4,183,0.5434,123.9905,5.7027,1.6298
66,2584,269940.16,85,0.4376,104.466,3.2895,0.9401
67,3223,418562.2,120,0.5458,129.8673,3.7232,1.0641
68,3158,496993.12,111,0.5348,157.3759,3.5149,1.0045
69,3130,455439.5,118,0.53,145.5078,3.77,1.0775
70,2913,396014.47,145,0.4933,135.9473,4.9777,1.4226
71,3267,465879.38,152,0.5532,142.6016,4.6526,1.3297
72,2744,323722.7,94,0.4647,117.9747,3.4257,0.9791
73,2304,216787.89,135,0.3902,94.092,5.8594,1.6746
74,3122,457877.53,120,0.5287,146.6616,3.8437,1.0985
75,3054,421229.53,110,0.5172,137.9272,3.6018,1.0294
76,3456,544176.0,144,0.5852,157.4583,4.1667,1.1908
77,3006,450696.62,125,0.509,149.9323,4.1583,1.1884
78,3166,461531.28,100,0.5361,145.7774,3.1586,0.9027
79,2688,323006.03,113,0.4552,120.1659,4.2039,1.2015
80,2204,233725.84,66,0.3732,106.0462,2.9946,0.8558
81,2863,342179.78,105,0.4848,119.5179,3.6675,1.0482
82,2970,385221.84,95,0.5029,129.7043,3.1987,0.9142
83,2934,379160.9,81,0.4968,129.23,2.7607,0.789
84,3350,568699.7,116,0.5673,169.7611,3.4627,0.9896
85,3574,567179.94,187,0.6052,158.6961,5.2322,1.4953
86,2661,346348.0,125,0.4506,130.1571,4.6975,1.3425
87,2549,308657.6,99,0.4316,121.0897,3.8839,1.11
88,3021,456236.4,75,0.5116,151.0217,2.4826,0.7095
89,3226,503736.6,114,0.5463,156.149,3.5338,1.0099
90,3353,558790.4,132,0.5678,166.6539,3.9368,1.1251
91,4007,634343.6,180,0.6785,158.3089,4.4921,1.2838
92,6252,1000660.4,147,1.0587,160.0544,2.3512,0.672
93,4524,582021.2,151,0.7661,128.6519,3.3378,0.9539
94,2931,347501.12,81,0.4963,118.5606,2.7636,0.7898
95,3711,541885.94,150,0.6284,146.0215,4.042,1.1552
96,3243,455987.44,91,0.5492,140.6067,2.806,0.8019
97,3102,471890.44,135,0.5253,152.1246,4.352,1.2438
98,3666,515023.75,129,0.6208,140.4866,3.5188,1.0057
99,3301,490795.0,105,0.559,148.6807,3.1809,0.9091
100,3052,398940.9,100,0.5168,130.7146,3.2765,0.9364
101,2500,292781.78,68,0.4233,117.1127,2.72,0.7774
102,3166,439746.3,105,0.5361,138.8965,3.3165,0.9478
103,3101,417752.47,97,0.5251,134.7154,3.128,0.894
104,3115,464152.6,111,0.5275,149.0056,3.5634,1.0184
105,3034,436601.53,132,0.5138,143.9029,4.3507,1.2434
106,3221,475316.66,152,0.5454,147.568,4.719,1.3487
107,2809,337977.28,127,0.4757,120.3194,4.5212,1.2921
