dt_day,transactions,fraud_count,fraud_rate,rolling_fraud_count,rolling_fraud_rate,rolling_std_fraud_count,fraud_count_dod_growth,fraud_count_rolling_diff,fraud_spike
1,5122,112,2.1866,112.0,2.1866,0.0,,0.0,0
2,3730,123,3.2976,117.5,2.7421,7.7782,0.0982,5.5,0
3,3241,92,2.8386,109.0,2.7743,15.7162,-0.252,-17.0,0
4,4036,115,2.8494,110.5,2.793,13.1783,0.25,4.5,0
5,3964,127,3.2038,113.8,2.8752,13.5904,0.1043,13.200000000000003,0
6,3717,99,2.6634,111.3333,2.8399,13.5745,-0.2205,-12.333299999999994,0
7,3786,136,3.5922,114.8571,2.9474,15.5073,0.3737,21.142899999999997,0
8,3999,93,2.3256,112.1429,2.9672,17.6109,-0.3162,-19.142899999999997,0
9,3907,119,3.0458,111.5714,2.9313,17.2613,0.2796,7.428600000000003,0
10,3445,90,2.6125,111.2857,2.899,17.6514,-0.2437,-21.285700000000006,0
11,4319,123,2.8479,112.4286,2.8987,18.1829,0.3667,10.571399999999997,0
12,4164,84,2.0173,106.2857,2.7292,19.6445,-0.3171,-22.285700000000006,0
13,4183,82,1.9603,103.8571,2.6288,21.6443,-0.0238,-21.857100000000003,0
14,4446,126,2.834,102.4286,2.5205,19.3809,0.5366,23.571399999999997,0
15,5034,143,2.8407,109.5714,2.5941,23.9921,0.1349,33.4286,0
16,4325,70,1.6185,102.5714,2.3902,27.6517,-0.5105,-32.5714,0
17,3805,126,3.3114,107.7143,2.49,28.2649,0.8,18.285700000000006,0
18,5585,161,2.8827,113.1429,2.495,34.6238,0.2778,47.8571,0
19,5526,118,2.1354,118.0,2.5119,32.1507,-0.2671,0.0,0
20,5749,135,2.3482,125.5714,2.5673,28.2657,0.1441,9.428600000000003,0
21,5677,116,2.0433,124.1429,2.4543,28.4923,-0.1407,-8.142899999999997,0
22,6852,147,2.1454,124.7143,2.355,28.9696,0.2672,22.285700000000006,0
23,5872,106,1.8052,129.8571,2.3817,19.1784,-0.2789,-23.857100000000003,0
24,6065,76,1.2531,122.7143,2.0876,28.0934,-0.283,-46.714299999999994,0
