dt_hour,transaction_count,total_amount,fraud_count,percentage,average_amount,fraud_rate,relative_risk
0,37795,4660496.5,1186,6.4001,123.3099,3.138,0.8968
1,32797,3805385.0,1027,5.5537,116.0284,3.1314,0.8949
2,26732,2976132.2,1002,4.5267,111.3322,3.7483,1.0712
3,20802,2217529.2,797,3.5225,106.6017,3.8314,1.095
4,14839,1527838.6,770,2.5128,102.961,5.189,1.483
5,9701,1021159.9,682,1.6427,105.2634,7.0302,2.0092
6,6007,635052.6,467,1.0172,105.7188,7.7743,2.2219
7,3704,421726.34,393,0.6272,113.857,10.6102,3.0324
8,2591,325013.25,241,0.4388,125.4393,9.3014,2.6583
9,2479,358256.8,223,0.4198,144.5167,8.9956,2.5709
10,3627,480345.22,193,0.6142,132.436,5.3212,1.5208
11,6827,839577.7,265,1.1561,122.979,3.8816,1.1093
12,12451,1632213.5,379,2.1084,131.091,3.0439,0.8699
13,20315,2925522.0,465,3.4401,144.008,2.2889,0.6542
14,28328,4138602.2,686,4.797,146.0958,2.4216,0.6921
15,33859,5091228.0,860,5.7336,150.3656,2.5399,0.7259
16,38698,5631690.5,1142,6.553,145.5292,2.9511,0.8434
17,40723,6150905.5,1284,6.8959,151.0425,3.153,0.9011
18,41639,6145356.5,1467,7.051,147.5866,3.5231,1.0069
19,42115,6049589.0,1463,7.1316,143.6445,3.4738,0.9928
20,41782,6039937.0,1432,7.0752,144.5584,3.4273,0.9795
21,41641,5867886.5,1416,7.0513,140.9161,3.4005,0.9718
22,41139,5597750.0,1345,6.9663,136.0692,3.2694,0.9344
23,39949,5199755.0,1478,6.7648,130.1598,3.6997,1.0574
