seasonality_dimension,dimension_value,frequency_count,seasonal_index,periodicity_strength
Hour of Day,0,37795,1.536,Strong
Hour of Day,1,32797,1.3329,Strong
Hour of Day,2,26732,1.0864,Weak
Hour of Day,3,20802,0.8454,Strong
Hour of Day,4,14839,0.6031,Strong
Hour of Day,5,9701,0.3943,Strong
Hour of Day,6,6007,0.2441,Strong
Hour of Day,7,3704,0.1505,Strong
Hour of Day,8,2591,0.1053,Strong
Hour of Day,9,2479,0.1007,Strong
Hour of Day,10,3627,0.1474,Strong
Hour of Day,11,6827,0.2775,Strong
Hour of Day,12,12451,0.506,Strong
Hour of Day,13,20315,0.8256,Strong
Hour of Day,14,28328,1.1513,Strong
Hour of Day,15,33859,1.3761,Strong
Hour of Day,16,38698,1.5727,Strong
Hour of Day,17,40723,1.655,Strong
Hour of Day,18,41639,1.6922,Strong
Hour of Day,19,42115,1.7116,Strong
Hour of Day,20,41782,1.6981,Strong
Hour of Day,21,41641,1.6923,Strong
Hour of Day,22,41139,1.6719,Strong
Hour of Day,23,39949,1.6236,Strong
Day of Week,0,86377,1.0239,Weak
Day of Week,1,98502,1.1676,Strong
Day of Week,2,79834,0.9463,Strong
Day of Week,3,70223,0.8324,Strong
Day of Week,4,85433,1.0127,Weak
Day of Week,5,84815,1.0054,Weak
Day of Week,6,85356,1.0118,Weak
