hour,train_pct,test_pct,psi_contribution,jsd_contribution
0,6.4001,6.041,0.000207,2.6e-05
1,5.5537,5.2154,0.000213,2.7e-05
2,4.5267,4.3835,4.6e-05,6e-06
3,3.5225,3.4104,3.6e-05,5e-06
4,2.5128,2.4269,3e-05,4e-06
5,1.6427,1.5828,2.2e-05,3e-06
6,1.0172,0.956,3.8e-05,5e-06
7,0.6272,0.5852,2.9e-05,4e-06
8,0.4388,0.4448,1e-06,0.0
9,0.4198,0.4646,4.5e-05,6e-06
10,0.6142,0.6975,0.000106,1.3e-05
11,1.1561,1.2888,0.000144,1.8e-05
12,2.1084,2.3353,0.000232,2.9e-05
13,3.4401,3.8453,0.000451,5.6e-05
14,4.797,5.1175,0.000207,2.6e-05
15,5.7336,6.0342,0.000154,1.9e-05
16,6.553,6.7011,3.3e-05,4e-06
17,6.8959,6.9478,4e-06,0.0
18,7.051,6.9642,1.1e-05,1e-06
19,7.1316,7.0566,8e-06,1e-06
20,7.0752,7.0029,7e-06,1e-06
21,7.0513,7.0058,3e-06,0.0
22,6.9663,6.8501,2e-05,2e-06
23,6.7648,6.6421,2.2e-05,3e-06
