dt_week,transaction_count,total_amount,fraud_count,percentage,average_amount,fraud_rate,relative_risk,volume_growth
0,23810,3080074.8,668,4.0319,129.3606,2.8055,0.8018,
1,27803,3550680.8,727,4.7081,127.7085,2.6148,0.7473,0.1677
2,34470,4529962.0,879,5.837,131.4175,2.55,0.7288,0.2398
3,37251,4496302.0,690,6.308,120.7029,1.8523,0.5294,0.0807
4,24041,3212245.8,919,4.071,133.6153,3.8226,1.0925,-0.3546
5,21868,2956437.5,838,3.7031,135.1947,3.8321,1.0952,-0.0904
6,20392,2769920.0,787,3.4531,135.8337,3.8594,1.103,-0.0675
7,20025,2693904.5,825,3.391,134.5271,4.1199,1.1775,-0.018
8,20246,2865050.5,922,3.4284,141.5119,4.554,1.3015,0.011
9,23596,3213942.0,1014,3.9957,136.2071,4.2973,1.2282,0.1655
10,20860,2825687.5,900,3.5324,135.4596,4.3145,1.2331,-0.116
11,19831,2575522.2,685,3.3581,129.8735,3.4542,0.9872,-0.0493
12,21734,3309648.5,848,3.6804,152.2798,3.9017,1.1151,0.096
13,27770,4034290.2,935,4.7025,145.2751,3.3669,0.9622,0.2777
14,21901,3019192.8,715,3.7086,137.8564,3.2647,0.933,-0.2113
15,20700,2854020.5,859,3.5053,137.8754,4.1498,1.186,-0.0548
16,21003,2789566.2,1063,3.5566,132.8175,5.0612,1.4465,0.0146
17,23824,3274313.2,876,4.0343,137.4376,3.677,1.0509,0.1343
18,19622,2561831.8,693,3.3227,130.5592,3.5318,1.0094,-0.1764
19,18630,2465118.8,644,3.1547,132.3198,3.4568,0.9879,-0.0506
20,18460,2538965.0,663,3.126,137.5387,3.5915,1.0264,-0.0091
21,20378,2866825.8,645,3.4507,140.6824,3.1652,0.9046,0.1039
22,20740,2824113.2,591,3.512,136.1675,2.8496,0.8144,0.0178
23,20944,2783343.5,681,3.5466,132.8946,3.2515,0.9293,0.0098
24,20206,2730973.8,741,3.4216,135.1566,3.6672,1.0481,-0.0352
25,17681,2444816.8,736,2.994,138.2737,4.1627,1.1897,-0.125
26,2754,472199.8,119,0.4664,171.4596,4.321,1.2349,-0.8442
