interaction,amt_bin,ProductCD,transaction_count,fraud_count,mean_amt,fraud_rate,relative_risk,card4,addr1,card6
amt_bin×ProductCD,Very Low,C,19081,1989,19081,10.424,2.9791,,,
amt_bin×ProductCD,Very Low,H,1598,43,1598,2.6909,0.769,,,
amt_bin×ProductCD,Very Low,S,3266,201,3266,6.1543,1.7589,,,
amt_bin×ProductCD,Very Low,W,5919,65,5919,1.0982,0.3139,,,
amt_bin×ProductCD,Low,C,44469,5207,44469,11.7093,3.3465,,,
amt_bin×ProductCD,Low,H,27222,692,27222,2.5421,0.7265,,,
amt_bin×ProductCD,Low,R,17710,259,17710,1.4625,0.418,,,
amt_bin×ProductCD,Low,S,6375,393,6375,6.1647,1.7618,,,
amt_bin×ProductCD,Low,W,242979,3772,242979,1.5524,0.4437,,,
amt_bin×ProductCD,Medium,C,4967,810,4967,16.3076,4.6606,,,
amt_bin×ProductCD,Medium,H,4204,839,4204,19.9572,5.7037,,,
amt_bin×ProductCD,Medium,R,19076,1137,19076,5.9604,1.7035,,,
amt_bin×ProductCD,Medium,S,1934,92,1934,4.757,1.3595,,,
amt_bin×ProductCD,Medium,W,168861,4156,168861,2.4612,0.7034,,,
amt_bin×ProductCD,High,C,2,2,2,100.0,28.5796,,,
amt_bin×ProductCD,High,R,913,30,913,3.2859,0.9391,,,
amt_bin×ProductCD,High,S,53,0,53,0.0,0.0,,,
amt_bin×ProductCD,High,W,19875,934,19875,4.6994,1.3431,,,
amt_bin×ProductCD,Very High,W,2036,42,2036,2.0629,0.5896,,,
amt_bin×card4,Very Low,,152,6,152,3.9474,1.1282,american express,,
amt_bin×card4,Very Low,,168,5,168,2.9762,0.8506,discover,,
amt_bin×card4,Very Low,,11189,838,11189,7.4895,2.1405,mastercard,,
amt_bin×card4,Very Low,,18284,1448,18284,7.9195,2.2634,visa,,
amt_bin×card4,Low,,3852,83,3852,2.1547,0.6158,american express,,
amt_bin×card4,Low,,2804,158,2804,5.6348,1.6104,discover,,
amt_bin×card4,Low,,108566,3353,108566,3.0884,0.8827,mastercard,,
amt_bin×card4,Low,,222719,6707,222719,3.0114,0.8606,visa,,
amt_bin×card4,Medium,,4052,150,4052,3.7019,1.058,american express,,
amt_bin×card4,Medium,,2770,243,2770,8.7726,2.5072,discover,,
amt_bin×card4,Medium,,62199,2077,62199,3.3393,0.9544,mastercard,,
amt_bin×card4,Medium,,129407,4547,129407,3.5137,1.0042,visa,,
amt_bin×card4,High,,272,0,272,0.0,0.0,american express,,
amt_bin×card4,High,,833,106,833,12.7251,3.6368,discover,,
amt_bin×card4,High,,6606,222,6606,3.3606,0.9604,mastercard,,
amt_bin×card4,High,,13062,637,13062,4.8767,1.3937,visa,,
amt_bin×card4,Very High,,76,2,76,2.6316,0.7521,discover,,
amt_bin×card4,Very High,,657,6,657,0.9132,0.261,mastercard,,
amt_bin×card4,Very High,,1295,34,1295,2.6255,0.7504,visa,,
ProductCD×card4,,C,2,2,2,100.0,28.5796,american express,,
ProductCD×card4,,C,27418,3072,27418,11.2043,3.2021,mastercard,,
ProductCD×card4,,C,40904,4916,40904,12.0184,3.4348,visa,,
ProductCD×card4,,H,1566,91,1566,5.811,1.6608,american express,,
ProductCD×card4,,H,603,45,603,7.4627,2.1328,discover,,
ProductCD×card4,,H,7938,413,7938,5.2028,1.4869,mastercard,,
ProductCD×card4,,H,22907,1024,22907,4.4702,1.2776,visa,,
ProductCD×card4,,R,6138,111,6138,1.8084,0.5168,american express,,
ProductCD×card4,,R,1089,56,1089,5.1423,1.4696,discover,,
ProductCD×card4,,R,7432,373,7432,5.0188,1.4344,mastercard,,
ProductCD×card4,,R,23039,885,23039,3.8413,1.0978,visa,,
ProductCD×card4,,S,622,35,622,5.627,1.6082,american express,,
ProductCD×card4,,S,580,77,580,13.2759,3.7942,discover,,
ProductCD×card4,,S,4042,200,4042,4.948,1.4141,mastercard,,
ProductCD×card4,,S,6384,374,6384,5.8584,1.6743,visa,,
ProductCD×card4,,W,4379,336,4379,7.673,2.1929,discover,,
ProductCD×card4,,W,142387,2438,142387,1.7122,0.4893,mastercard,,
ProductCD×card4,,W,291533,6174,291533,2.1178,0.6053,visa,,
ProductCD×addr1,,C,26,0,26,0.0,0.0,,100.0,
ProductCD×addr1,,C,1,0,1,0.0,0.0,,101.0,
ProductCD×addr1,,C,13,0,13,0.0,0.0,,102.0,
ProductCD×addr1,,C,2,0,2,0.0,0.0,,111.0,
