hour,transaction_count,fraud_count,fraud_rate
0,37795,1186,3.138
1,32797,1027,3.1314
2,26732,1002,3.7483
3,20802,797,3.8314
4,14839,770,5.189
5,9701,682,7.0302
6,6007,467,7.7743
7,3704,393,10.6102
8,2591,241,9.3014
9,2479,223,8.9956
10,3627,193,5.3212
11,6827,265,3.8816
12,12451,379,3.0439
13,20315,465,2.2889
14,28328,686,2.4216
15,33859,860,2.5399
16,38698,1142,2.9511
17,40723,1284,3.153
18,41639,1467,3.5231
19,42115,1463,3.4738
20,41782,1432,3.4273
21,41641,1416,3.4005
22,41139,1345,3.2694
23,39949,1478,3.6997
